Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,4,Juan Manuel Fangio,FAN,Mercedes-Benz,66,3:00:34.500,9
2,20,Jose Froilan Gonzalez,GON,Ferrari,66,+57.800s,6
3,6,Hans Herrmann,HER,Mercedes-Benz,65,+1 lap,4
4,30,Roberto Mieres,MIE,Maserati,64,+2 laps,3
5,28,Sergio Mantovani,MAN,Maserati,64,+2 laps,2
6,18,Ken Wharton,WHA,Maserati,64,+2 laps,0
7,24,Umberto Maglioli,MAG,Ferrari,61,+5 laps,0
8,2,Jacques Swaters,SWA,Ferrari,58,+8 laps,0
NC,8,Karl Kling,KLI,Mercedes-Benz,38,DNF,0
NC,26,Maurice Trintignant,TRI,Ferrari,33,DNF,0
NC,22,Mike Hawthorn,HAW,Ferrari,30,DNF,0
NC,34,Harry Schell,SCH,Maserati,23,DNF,0
NC,32,Stirling Moss,MOS,Maserati,21,DNF,0
NC,14,Fred Wacker,WAC,Gordini,10,DNF,0
NC,10,Jean Behra,BEH,Gordini,8,DNF,0
NC,12,Clemar Bucci,BUC,Gordini,0,DNF,0
