Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,26,Stirling Moss,MOS,Vanwall,18,2:59:22.700,9
2,2,Juan Manuel Fangio,FAN,Maserati,18,+193.900s,6
3,6,Harry Schell,SCH,Maserati,18,+406.800s,4
4,14,Masten Gregory,GRE,Maserati,18,+496.500s,3
5,30,Stuart Lewis-Evans,LEW,Vanwall,17,+1 lap,2
6,8,Giorgio Scarlatti,SCA,Maserati,17,+1 lap,0
7,24,Jack Brabham,BRA,Cooper Climax,15,+3 laps,0
NC,10,Paco Godia,GOD,Maserati,10,DNF,0
NC,20,Bruce Halford,HAL,Maserati,9,DNF,0
NC,34,Luigi Musso,MUS,Ferrari,9,DNF,0
NC,16,Jo Bonnier,BON,Maserati,7,DNF,0
NC,4,Jean Behra,BEH,Maserati,4,DNF,0
NC,22,Roy Salvadori,SAL,Cooper Climax,3,DNF,0
NC,12,Luigi Piotti,PIO,Maserati,1,DNF,0
NC,18,Horace Gould,GOU,Maserati,1,DNF,0
NC,28,Tony Brooks,BRO,Vanwall,1,DNF,0
