Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,8,Tony Brooks,BRO,Vanwall,15,2:21:15.000,8
2,10,Roy Salvadori,SAL,Cooper Climax,15,+209.700s,6
3,11,Maurice Trintignant,TRI,Cooper Climax,15,+311.200s,4
4,4,Wolfgang von Trips,VON,Ferrari,15,+376.300s,3
5,20,Bruce McLaren,MCL,Cooper Climax,15,+386.300s,0
6,21,Edgar Barth,BAR,Porsche,15,+392.400s,0
7,26,Ian Burgess,BUR,Cooper Climax,15,+419.300s,0
8,30,Tony Marsh,MAR,Cooper Climax,15,+429.900s,0
9,23,Phil Hill,HIL,Ferrari,15,+465.500s,0
10,12,Cliff Allison,ALL,Lotus Climax,13,+2 laps,0
11,28,Ivor Bueb,BUE,Lotus Climax,13,+2 laps,0
NC,3,Mike Hawthorn,HAW,Ferrari,11,DNF,0
NC,2,Peter Collins,COL,Ferrari,10,DNF,0
NC,6,Harry Schell,SCH,BRM,9,DNF,0
NC,22,Wolfgang Seidel,SEI,Cooper Climax,9,DNF,0
NC,5,Jean Behra,BEH,BRM,4,DNF,0
NC,25,Graham Hill,HIL,Lotus Climax,4,DNF,0
NC,27,Christian Goethals,GOE,Cooper Climax,4,DNF,0
NC,17,Hans Herrmann,HER,Maserati,3,DNF,0
NC,7,Stirling Moss,MOS,Vanwall,3,DNF,1
NC,18,Carel Godin de Beaufort,DEB,Porsche,3,DNF,0
NC,19,Dick Gibson,GIB,Cooper Climax,2,DNF,0
NC,24,Jack Brabham,BRA,Cooper Climax,1,DNF,0
NC,29,Brian Naylor,NAY,Cooper Climax,1,DNF,0
NC,16,Jo Bonnier,BON,Maserati,1,DNF,0
