Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,2,Stirling Moss,MOS,Vanwall,50,2:11:27.800,8
2,22,Mike Hawthorn,HAW,Ferrari,50,+312.750s,7
3,6,Stuart Lewis-Evans,LEW,Vanwall,49,+1 lap,4
4,8,Jean Behra,BEH,BRM,49,+1 lap,3
5,24,Wolfgang von Trips,VON,Ferrari,49,+1 lap,2
6,10,Harry Schell,SCH,BRM,49,+1 lap,0
7,14,Jack Brabham,BRA,Cooper Climax,48,+2 laps,0
8,12,Maurice Trintignant,TRI,Cooper Climax,48,+2 laps,0
NC,28,Carroll Shelby,SHE,Maserati,47,DNF,0
9,16,Roy Salvadori,SAL,Cooper Climax,46,+4 laps,0
NC,4,Tony Brooks,BRO,Vanwall,36,DNF,0
NC,20,Graham Hill,HIL,Lotus Climax,25,DNF,0
NC,18,Cliff Allison,ALL,Maserati,15,DNF,0
NC,32,Jo Bonnier,BON,Maserati,9,DNF,0
NC,30,Maria Teresa de Filippis,DEF,Maserati,6,DNF,0
