Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,5,Rodger Ward,WAR,Watson Offenhauser,200,3:40:49.200,8
2,16,Jim Rathmann,RAT,Watson Offenhauser,200,+23.277s,6
3,3,Johnny Thomson,THO,Lesovsky Offenhauser,200,,5
4,1,Tony Bettenhausen,BET,Epperly Offenhauser,200,+0 lap,3
5,99,Paul Goldsmith,GOL,Epperly Offenhauser,200,+0 lap,2
6,33,Johnny Boyd,BOY,Epperly Offenhauser,200,+0 lap,0
7,37,Duane Carter,CAR,Kurtis Kraft Offenhauser,200,+0 lap,0
8,19,Eddie Johnson,JOH,Kurtis Kraft Offenhauser,200,+0 lap,0
9,45,Paul Russo,RUS,Kurtis Kraft Offenhauser,200,+0 lap,0
10,10,Anthony Joseph Foyt,FOY,Kuzma Offenhauser,200,+0 lap,0
11,88,Gene Hartley,HAR,Kuzma Offenhauser,200,+0 lap,0
12,74,Bob Veith,VEI,Moore Offenhauser,200,+0 lap,0
13,89,Al Herman,HER,Dunn Offenhauser,200,+0 lap,0
14,66,Jimmy Daywalt,DAY,Kurtis Kraft Offenhauser,200,+0 lap,0
15,71,Chuck Arnold,ARN,Kurtis Kraft Offenhauser,200,+0 lap,0
16,58,Jim McWithey,MCW,Kurtis Kraft Offenhauser,200,+0 lap,0
17,44,Eddie Sachs,SAC,Kuzma Offenhauser,182,DNF,0
18,57,Al Keller,KEL,Kuzma Offenhauser,163,DNF,0
19,64,Pat Flaherty,FLA,Watson Offenhauser,162,DNF,0
20,73,Dick Rathmann,RAT,Watson Offenhauser,150,DNF,0
21,53,Bill Cheesbourg,CHE,Kuzma Offenhauser,147,DNF,0
22,15,Don Freeland,FRE,Kurtis Kraft Offenhauser,136,DNF,0
23,49,Ray Crawford,CRA,Elder Offenhauser,115,DNF,0
24,9,Don Branson,BRA,Phillips Offenhauser,112,DNF,0
25,65,Bob Christie,CHR,Kurtis Kraft Offenhauser,109,DNF,0
26,48,Bobby Grim,GRI,Kurtis Kraft Offenhauser,85,DNF,0
27,24,Jack Turner,TUR,Christensen Offenhauser,47,DNF,0
28,47,Chuck Weyant,WEY,Kurtis Kraft Offenhauser,45,DNF,0
29,7,Jud Larson,LAR,Kurtis Kraft Offenhauser,45,DNF,0
30,77,Mike Magill,MAG,Sutton Offenhauser,45,DNF,0
31,87,Red Amick,AMI,Kurtis Kraft Offenhauser,45,DNF,0
32,8,Len Sutton,SUT,Lesovsky Offenhauser,34,DNF,0
33,6,Jimmy Bryan,BRY,Epperly Offenhauser,1,DNF,0
