Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,1,Jim Clark,CLA,Lotus Climax,32,2:27:47.600,9
2,14,Bruce McLaren,MCL,Cooper Climax,32,+294.000s,6
3,18,Dan Gurney,GUR,Brabham Climax,31,+1 lap,4
4,8,Richie Ginther,GIN,BRM,31,+1 lap,3
5,12,Jo Bonnier,BON,Cooper Climax,30,+2 laps,2
6,29,Carel Godin de Beaufort,DEB,Porsche,30,+2 laps,1
7,15,Tony Maggs,MAG,Cooper Climax,27,DNF,0
8,24,Tony Settember,SET,Scirocco BRM,25,DNF,0
NC,9,John Surtees,SUR,Ferrari,19,DNF,0
NC,7,Graham Hill,HIL,BRM,17,DNF,0
NC,22,Lucien Bianchi,BIA,Lola Climax,17,DNF,0
NC,5,Jim Hall,HAL,Lotus BRM,16,DNF,0
NC,28,Jo Siffert,SIF,Lotus BRM,16,DNF,0
NC,26,Phil Hill,HIL,ATS,13,DNF,0
NC,17,Jack Brabham,BRA,Brabham Climax,12,DNF,0
NC,21,Chris Amon,AMO,Lola Climax,10,DNF,0
NC,4,Innes Ireland,IRE,BRP BRM,9,DNF,0
NC,27,Giancarlo Baghetti,BAG,ATS,7,DNF,0
NC,10,Willy Mairesse,MAI,Ferrari,7,DNF,0
NC,2,Trevor Taylor,TAY,Lotus Climax,5,DNF,0
