Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,11,Jacky Ickx,ICK,Brabham Ford,90,1:59:25.700,9
2,12,Jack Brabham,BRA,Brabham Ford,90,+46.200s,6
3,2,Jochen Rindt,RIN,Lotus Ford,90,+52.000s,4
4,18,Jean-Pierre Beltoise,BEL,Matra Ford,89,+1 lap,3
5,4,Bruce McLaren,MCL,McLaren Ford,87,+3 laps,2
6,19,Johnny Servoz-Gavin,SER,Matra Ford,84,+6 laps,1
7,25,Pete Lovely,LOV,Lotus Ford,81,+9 laps,0
NC,16,Bill Brack,BRA,BRM,80,+10 laps,0
NC,1,Graham Hill,HIL,Lotus Ford,42,DNF,0
NC,9,Jo Siffert,SIF,Lotus Ford,40,DNF,0
NC,3,John Miles,MIL,Lotus Ford,40,DNF,0
NC,6,Pedro Rodriguez,ROD,Ferrari,37,DNF,0
NC,17,Jackie Stewart,STE,Matra Ford,32,DNF,0
DQ,69,Al Pease,PEA,Eagle Climax,22,DSQ,0
NC,14,John Surtees,SUR,BRM,15,DNF,0
NC,21,Piers Courage,COU,Brabham Ford,13,DNF,0
NC,26,John Cordts,COR,Brabham Climax,10,DNF,0
NC,5,Denny Hulme,HUL,McLaren Ford,9,DNF,0
NC,15,Jackie Oliver,OLI,BRM,2,DNF,0
NC,20,Silvio Moser,MOS,Brabham Ford,0,DNF,0
