Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,3,Jochen Rindt,RIN,Lotus Ford,80,1:54:36.600,9
2,5,Jack Brabham,BRA,Brabham Ford,80,+23.100s,6
3,9,Henri Pescarolo,PES,Matra,80,+51.400s,4
4,11,Denny Hulme,HUL,McLaren Ford,80,+88.300s,3
5,1,Graham Hill,HIL,Lotus Ford,79,+1 lap,2
6,17,Pedro Rodriguez,ROD,BRM,78,+2 laps,1
7,23,Ronnie Peterson,PET,March Ford,78,+2 laps,0
8,19,Jo Siffert,SIF,March Ford,76,DNF,0
NC,28,Chris Amon,AMO,March Ford,60,DNF,0
NC,24,Piers Courage,COU,De Tomaso Ford,58,+22 laps,0
NC,21,Jackie Stewart,STE,March Ford,57,DNF,0
NC,16,Jackie Oliver,OLI,BRM,42,DNF,0
NC,8,Jean-Pierre Beltoise,BEL,Matra,21,DNF,0
NC,12,Bruce McLaren,MCL,McLaren Ford,19,DNF,0
NC,14,John Surtees,SUR,McLaren Ford,14,DNF,0
NC,26,Jacky Ickx,ICK,Ferrari,11,DNF,0
