Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,5,Emerson Fittipaldi,FIT,Lotus Ford,90,2:03:41.230,9
2,4,Jacky Ickx,ICK,Ferrari,90,+18.920s,6
3,6,Clay Regazzoni,REG,Ferrari,89,+1 lap,4
4,26,Andrea de Adamich,DEA,Surtees Ford,89,+1 lap,3
5,20,Peter Revson,REV,McLaren Ford,89,+1 lap,2
6,29,Carlos Pace,PAC,March Ford,89,+1 lap,1
7,22,Wilson Fittipaldi,FIT,Brabham Ford,88,+2 laps,0
8,12,Tim Schenken,SCH,Surtees Ford,88,+2 laps,0
9,21,Dave Walker,WAL,Lotus Ford,87,DNF,0
10,18,Graham Hill,HIL,Brabham Ford,86,+4 laps,0
11,14,Henri Pescarolo,PES,March Ford,86,+4 laps,0
NC,1,Jackie Stewart,STE,Tyrrell Ford,69,DNF,0
NC,9,Chris Amon,AMO,Matra,66,DNF,0
NC,3,Francois Cevert,CEV,Tyrrell Ford,65,DNF,0
NC,8,Peter Gethin,GET,BRM,65,DNF,0
NC,11,Denny Hulme,HUL,McLaren Ford,48,DNF,0
NC,25,Howden Ganley,GAN,BRM,38,DNF,0
NC,10,Reine Wisell,WIS,BRM,24,DNF,0
NC,7,Mario Andretti,AND,Ferrari,23,DNF,0
NC,15,Mike Hailwood,HAI,Surtees Ford,20,DNF,0
NC,2,Ronnie Peterson,PET,March Ford,16,DNF,0
NC,16,Rolf Stommelen,STO,Eifelland Ford,15,DNF,0
NC,19,Jean-Pierre Beltoise,BEL,BRM,9,DNF,0
NC,24,Niki Lauda,LAU,March Ford,7,DNF,0
NC,28,Alex Soler-Roig,SOL,BRM,6,DNF,0
