Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,7,Denny Hulme,HUL,McLaren Ford,80,1:56:46.049,9
2,2,Ronnie Peterson,PET,Lotus Ford,80,+4.030s,6
3,6,Francois Cevert,CEV,Tyrrell Ford,80,+14.670s,4
4,10,Carlos Reutemann,REU,Brabham Ford,80,+18.070s,3
5,5,Jackie Stewart,STE,Tyrrell Ford,80,+26.000s,2
6,3,Jacky Ickx,ICK,Ferrari,79,+1 lap,1
7,8,Peter Revson,REV,McLaren Ford,79,+1 lap,0
8,15,Mike Beuttler,BEU,March Ford,77,+3 laps,0
9,19,Clay Regazzoni,REG,BRM,77,+3 laps,0
10,24,Carlos Pace,PAC,Surtees Ford,77,+3 laps,0
11,25,Howden Ganley,GAN,Iso Marlboro Ford,76,+4 laps,0
12,1,Emerson Fittipaldi,FIT,Lotus Ford,76,DNF,0
13,21,Niki Lauda,LAU,BRM,75,+5 laps,0
NC,20,Jean-Pierre Beltoise,BEL,BRM,57,DNF,0
NC,17,Jackie Oliver,OLI,Shadow Ford,50,DNF,0
NC,23,Mike Hailwood,HAI,Surtees Ford,41,DNF,0
NC,14,Jean-Pierre Jarier,JAR,March Ford,36,DNF,0
NC,12,Graham Hill,HIL,Shadow Ford,16,DNF,0
NC,11,Wilson Fittipaldi,FIT,Brabham Ford,0,DNF,0
