Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,2,Jochen Mass,MAS,McLaren Ford,29,42:53.700,4.5
2,6,Jacky Ickx,ICK,Lotus Ford,29,+1.100s,3.0
3,7,Carlos Reutemann,REU,Brabham Ford,28,+1 lap,2.0
4,17,Jean-Pierre Jarier,JAR,Shadow Ford,28,+1 lap,1.5
5,9,Vittorio Brambilla,BRA,March Ford,28,+1 lap,1.0
6,10,Lella Lombardi,LOM,March Ford,27,+2 laps,0.5
7,21,Tony Brise,BRI,Frank Williams Racing Cars/Williams,27,+2 laps,0.0
8,18,John Watson,WAT,Surtees Ford,26,+3 laps,0.0
NC,22,Rolf Stommelen,STO,Hill Ford,25,DNF,0.0
NC,8,Carlos Pace,PAC,Brabham Ford,25,DNF,0.0
NC,11,Clay Regazzoni,REG,Ferrari,25,+4 laps,0.0
NC,5,Ronnie Peterson,PET,Lotus Ford,23,DNF,0.0
NC,16,Tom Pryce,PRY,Shadow Ford,23,DNF,0.0
NC,31,Roelof Wunderink,WUN,Ensign Ford,20,DNF,0.0
NC,23,Francois Migault,MIG,Hill Ford,18,+11 laps,0.0
NC,27,Mario Andretti,AND,Parnelli Ford,16,DNF,0.0
NC,14,Bob Evans,EVA,BRM,7,DNF,0.0
NC,24,James Hunt,HUN,Hesketh Ford,6,DNF,0.0
NC,3,Jody Scheckter,SCH,Tyrrell Ford,3,DNF,0.0
NC,28,Mark Donohue,DON,Penske Ford,3,DNF,0.0
NC,25,Alan Jones,JON,Hesketh Ford,3,DNF,0.0
NC,4,Patrick Depailler,DEP,Tyrrell Ford,1,DNF,0.0
NC,20,Arturo Merzario,MER,Frank Williams Racing Cars/Williams,1,DNF,0.0
NC,30,Wilson Fittipaldi,FIT,Fittipaldi Ford,1,DNF,0.0
NC,12,Niki Lauda,LAU,Ferrari,0,DNF,0.0
