Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,3,Jody Scheckter,SCH,Tyrrell Ford,72,1:46:53.729,9
2,4,Patrick Depailler,DEP,Tyrrell Ford,72,+19.770s,6
3,1,Niki Lauda,LAU,Ferrari,72,+33.870s,4
4,26,Jacques Laffite,LAF,Ligier Matra,72,+55.820s,3
5,11,James Hunt,HUN,McLaren Ford,72,+59.480s,2
6,2,Clay Regazzoni,REG,Ferrari,72,+60.370s,1
7,10,Ronnie Peterson,PET,March Ford,72,+63.490s,0
8,8,Carlos Pace,PAC,Brabham Alfa Romeo,72,+71.610s,0
9,16,Tom Pryce,PRY,Shadow Ford,71,+1 lap,0
10,9,Vittorio Brambilla,BRA,March Ford,71,+1 lap,0
11,12,Jochen Mass,MAS,McLaren Ford,71,+1 lap,0
12,17,Jean-Pierre Jarier,JAR,Shadow Ford,71,+1 lap,0
13,19,Alan Jones,JON,Surtees Ford,71,+1 lap,0
14,35,Arturo Merzario,MER,March Ford,70,DNF,0
15,18,Brett Lunger,LUN,Surtees Ford,70,+2 laps,0
NC,24,Harald Ertl,ERT,Hesketh Ford,54,DNF,0
NC,34,Hans-Joachim Stuck,STU,March Ford,52,DNF,0
NC,5,Mario Andretti,AND,Lotus Ford,45,DNF,0
NC,22,Chris Amon,AMO,Ensign Ford,38,DNF,0
NC,21,Michel Leclere,LEC,Wolf-Williams,20,DNF,0
NC,37,Larry Perkins,PER,Boro Ford,18,DNF,0
NC,30,Emerson Fittipaldi,FIT,Fittipaldi Ford,10,DNF,0
NC,32,Loris Kessel,KES,,5,DNF,0
NC,6,Gunnar Nilsson,NIL,Lotus Ford,2,DNF,0
NC,7,Carlos Reutemann,REU,Brabham Alfa Romeo,2,DNF,0
NC,28,John Watson,WAT,Penske Ford,0,DNF,0
