Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,5,Mario Andretti,AND,Lotus Ford,73,1:43:58.860,9
2,4,Patrick Depailler,DEP,Tyrrell Ford,72,+1 lap,6
3,11,James Hunt,HUN,McLaren Ford,72,+1 lap,4
4,19,Alan Jones,JON,Surtees Ford,72,+1 lap,3
5,2,Clay Regazzoni,REG,Ferrari,72,+1 lap,2
6,6,Gunnar Nilsson,NIL,Lotus Ford,72,+1 lap,1
7,26,Jacques Laffite,LAF,Ligier Matra,72,+1 lap,0
8,24,Harald Ertl,ERT,Hesketh Ford,72,+1 lap,0
9,18,Noritake Takahara,TAK,Surtees Ford,70,+3 laps,0
10,17,Jean-Pierre Jarier,JAR,Shadow Ford,69,+4 laps,0
11,51,Masahiro Hasemi,HAS,Kojima Ford,66,+7 laps,0
NC,3,Jody Scheckter,SCH,Tyrrell Ford,58,DNF,0
NC,21,Hans Binder,BIN,Wolf-Williams,49,DNF,0
NC,16,Tom Pryce,PRY,Shadow Ford,46,DNF,0
NC,9,Vittorio Brambilla,BRA,March Ford,38,DNF,0
NC,34,Hans-Joachim Stuck,STU,March Ford,37,DNF,0
NC,12,Jochen Mass,MAS,McLaren Ford,35,DNF,0
NC,28,John Watson,WAT,Penske Ford,33,DNF,0
NC,52,Kazuyoshi Hoshino,HOS,Tyrrell Ford,27,DNF,0
NC,20,Arturo Merzario,MER,Wolf-Williams,23,DNF,0
NC,30,Emerson Fittipaldi,FIT,Fittipaldi Ford,9,DNF,0
NC,8,Carlos Pace,PAC,Brabham Alfa Romeo,7,DNF,0
NC,1,Niki Lauda,LAU,Ferrari,2,DNF,0
NC,7,Larry Perkins,PER,Brabham Alfa Romeo,1,DNF,0
NC,10,Ronnie Peterson,PET,March Ford,0,DNF,0
