Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,20,Jody Scheckter,SCH,Wolf Ford,53,1:40:11.190,9
2,8,Carlos Pace,PAC,Brabham Alfa Romeo,53,+43.240s,6
3,12,Carlos Reutemann,REU,Ferrari,53,+46.020s,4
4,28,Emerson Fittipaldi,FIT,Fittipaldi Ford,53,+55.480s,3
5,5,Mario Andretti,AND,Lotus Ford,51,DNF,2
6,22,Clay Regazzoni,REG,Ensign Ford,51,+2 laps,1
7,19,Vittorio Brambilla,BRA,Surtees Ford,48,DNF,0
NC,10,Ian Scheckter,SCH,March Ford,45,DNF,0
NC,16,Tom Pryce,PRY,Shadow Ford,45,+8 laps,0
NC,7,John Watson,WAT,Brabham Alfa Romeo,41,DNF,0
NC,9,Alex Ribeiro,RIB,March Ford,39,DNF,0
NC,26,Jacques Laffite,LAF,Ligier Matra,37,+16 laps,0
NC,4,Patrick Depailler,DEP,Tyrrell Ford,32,DNF,0
NC,1,James Hunt,HUN,McLaren Ford,31,DNF,0
NC,2,Jochen Mass,MAS,McLaren Ford,28,DNF,0
NC,3,Ronnie Peterson,PET,Tyrrell Ford,28,DNF,0
NC,29,Ingo Hoffman,HOF,Fittipaldi Ford,22,DNF,0
NC,11,Niki Lauda,LAU,Ferrari,20,DNF,0
NC,18,Hans Binder,BIN,Surtees Ford,18,DNF,0
NC,17,Renzo Zorzi,ZOR,Shadow Ford,2,DNF,0
