Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,12,Carlos Reutemann,REU,Ferrari,40,1:45:07.720,9
2,1,James Hunt,HUN,McLaren Ford,40,+10.710s,6
3,11,Niki Lauda,LAU,Ferrari,40,+107.510s,4
4,28,Emerson Fittipaldi,FIT,Fittipaldi Ford,39,+1 lap,3
5,6,Gunnar Nilsson,NIL,Lotus Ford,39,+1 lap,2
6,17,Renzo Zorzi,ZOR,Shadow Ford,39,+1 lap,1
7,29,Ingo Hoffman,HOF,Fittipaldi Ford,38,+2 laps,0
NC,16,Tom Pryce,PRY,Shadow Ford,33,DNF,0
NC,8,Carlos Pace,PAC,Brabham Alfa Romeo,33,DNF,0
NC,18,Hans Binder,BIN,Surtees Ford,32,DNF,0
NC,7,John Watson,WAT,Brabham Alfa Romeo,30,DNF,0
NC,26,Jacques Laffite,LAF,Ligier Matra,26,DNF,0
NC,4,Patrick Depailler,DEP,Tyrrell Ford,23,DNF,0
NC,5,Mario Andretti,AND,Lotus Ford,19,DNF,0
NC,9,Alex Ribeiro,RIB,March Ford,16,DNF,0
NC,2,Jochen Mass,MAS,McLaren Ford,12,DNF,0
NC,22,Clay Regazzoni,REG,Ensign Ford,12,DNF,0
NC,3,Ronnie Peterson,PET,Tyrrell Ford,12,DNF,0
NC,20,Jody Scheckter,SCH,Wolf Ford,11,DNF,0
NC,19,Vittorio Brambilla,BRA,Surtees Ford,11,DNF,0
NC,10,Ian Scheckter,SCH,March Ford,1,DNF,0
NC,14,Larry Perkins,PER,BRM,1,DNF,0
