Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,11,Niki Lauda,LAU,Ferrari,78,1:42:21.600,9
2,20,Jody Scheckter,SCH,Wolf Ford,78,+5.200s,6
3,4,Patrick Depailler,DEP,Tyrrell Ford,78,+5.700s,4
4,1,James Hunt,HUN,McLaren Ford,78,+9.500s,3
5,2,Jochen Mass,MAS,McLaren Ford,78,+19.900s,2
6,7,John Watson,WAT,Brabham Alfa Romeo,78,+20.200s,1
7,19,Vittorio Brambilla,BRA,Surtees Ford,78,+23.600s,0
8,12,Carlos Reutemann,REU,Ferrari,78,+26.700s,0
9,22,Clay Regazzoni,REG,Ensign Ford,78,+46.200s,0
10,28,Emerson Fittipaldi,FIT,Fittipaldi Ford,78,+71.700s,0
11,18,Hans Binder,BIN,Surtees Ford,77,+1 lap,0
12,6,Gunnar Nilsson,NIL,Lotus Ford,77,+1 lap,0
13,8,Carlos Pace,PAC,Brabham Alfa Romeo,76,+2 laps,0
14,30,Brett Lunger,LUN,March Ford,76,+2 laps,0
15,14,Larry Perkins,PER,BRM,73,+5 laps,0
NC,9,Alex Ribeiro,RIB,March Ford,66,DNF,0
NC,10,Hans-Joachim Stuck,STU,March Ford,55,DNF,0
NC,5,Mario Andretti,AND,Lotus Ford,43,DNF,0
NC,33,Boy Hayje,HAY,March Ford,33,DNF,0
NC,16,Tom Pryce,PRY,Shadow Ford,22,DNF,0
NC,26,Jacques Laffite,LAF,Ligier Matra,22,DNF,0
NC,17,Renzo Zorzi,ZOR,Shadow Ford,21,DNF,0
NC,3,Ronnie Peterson,PET,Tyrrell Ford,5,DNF,0
