Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,5,Mario Andretti,AND,Lotus Ford,52,1:27:50.300,9
2,11,Niki Lauda,LAU,Ferrari,52,+16.960s,6
3,17,Alan Jones,JON,Shadow Ford,52,+23.630s,4
4,2,Jochen Mass,MAS,McLaren Ford,52,+28.480s,3
5,22,Clay Regazzoni,REG,Ensign Ford,52,+31.110s,2
6,3,Ronnie Peterson,PET,Tyrrell Ford,52,+79.220s,1
7,27,Patrick Neve,NEV,March Ford,50,+2 laps,0
8,26,Jacques Laffite,LAF,Ligier Matra,50,+2 laps,0
9,24,Rupert Keegan,KEE,Hesketh Ford,48,+4 laps,0
NC,10,Ian Scheckter,SCH,March Ford,41,DNF,0
NC,12,Carlos Reutemann,REU,Ferrari,39,DNF,0
NC,14,Bruno Giacomelli,GIA,McLaren Ford,38,DNF,0
NC,16,Riccardo Patrese,PAT,Shadow Ford,38,DNF,0
NC,8,Hans-Joachim Stuck,STU,Brabham Alfa Romeo,31,DNF,0
NC,1,James Hunt,HUN,McLaren Ford,26,DNF,0
NC,4,Patrick Depailler,DEP,Tyrrell Ford,24,DNF,0
NC,20,Jody Scheckter,SCH,Wolf Ford,23,DNF,0
NC,15,Jean-Pierre Jabouille,JAB,Renault,23,DNF,0
NC,34,Jean-Pierre Jarier,JAR,Penske Ford,19,DNF,0
NC,23,Patrick Tambay,TAM,Ensign Ford,8,DNF,0
NC,19,Vittorio Brambilla,BRA,Surtees Ford,5,DNF,0
NC,30,Brett Lunger,LUN,McLaren Ford,4,DNF,0
NC,6,Gunnar Nilsson,NIL,Lotus Ford,4,DNF,0
NC,7,John Watson,WAT,Brabham Alfa Romeo,3,DNF,0
