Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,11,Carlos Reutemann,REU,Ferrari,59,1:40:48.800,9
2,27,Alan Jones,JON,Williams Ford,59,+19.739s,6
3,20,Jody Scheckter,SCH,Wolf Ford,59,+45.701s,4
4,15,Jean-Pierre Jabouille,JAB,Renault,59,+85.007s,3
5,14,Emerson Fittipaldi,FIT,Fittipaldi Ford,59,+88.089s,2
6,8,Patrick Tambay,TAM,McLaren Ford,59,+110.210s,1
7,7,James Hunt,HUN,McLaren Ford,58,+1 lap,0
8,22,Derek Daly,DAL,Ensign Ford,58,+1 lap,0
9,18,Rene Arnoux,ARN,Surtees Ford,58,+1 lap,0
10,3,Didier Pironi,PIR,Tyrrell Ford,58,+1 lap,0
11,26,Jacques Laffite,LAF,Ligier Matra,58,+1 lap,0
12,21,Bobby Rahal,RAH,Wolf Ford,58,+1 lap,0
13,23,Brett Lunger,LUN,Ensign Ford,58,+1 lap,0
14,17,Clay Regazzoni,REG,Shadow Ford,56,+3 laps,0
15,55,Jean-Pierre Jarier,JAR,Lotus Ford,55,DNF,0
16,36,Rolf Stommelen,STO,Arrows Ford,54,+5 laps,0
NC,37,Arturo Merzario,MER,Merzario Ford,46,DNF,0
NC,9,Michael Bleekemolen,BLE,ATS Ford,43,DNF,0
NC,1,Niki Lauda,LAU,Brabham Alfa Romeo,28,DNF,0
NC,5,Mario Andretti,AND,Lotus Ford,27,DNF,0
NC,2,John Watson,WAT,Brabham Alfa Romeo,25,DNF,0
NC,4,Patrick Depailler,DEP,Tyrrell Ford,23,DNF,0
NC,12,Gilles Villeneuve,VIL,Ferrari,22,DNF,0
NC,32,Keke Rosberg,ROS,ATS Ford,21,DNF,0
NC,16,Hans-Joachim Stuck,STU,Shadow Ford,1,DNF,0
NC,25,Hector Rebaque,REB,Lotus Ford,0,DNF,0
