Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,27,Alan Jones,JON,Williams Ford,75,1:41:19.775,9
2,11,Jody Scheckter,SCH,Ferrari,75,+21.783s,6
3,26,Jacques Laffite,LAF,Ligier Ford,75,+63.253s,4
4,6,Nelson Piquet,PIQ,Brabham Alfa Romeo,74,+1 lap,3
5,25,Jacky Ickx,ICK,Ligier Ford,74,+1 lap,2
6,30,Jochen Mass,MAS,Arrows Ford,73,+2 laps,1
7,31,Hector Rebaque,REB,Lotus Ford,73,+2 laps,0
NC,3,Didier Pironi,PIR,Tyrrell Ford,51,DNF,0
NC,12,Gilles Villeneuve,VIL,Ferrari,49,DNF,0
NC,18,Elio de Angelis,DEA,Shadow Ford,40,DNF,0
NC,20,Keke Rosberg,ROS,Wolf Ford,33,DNF,0
NC,15,Jean-Pierre Jabouille,JAB,Renault,26,DNF,0
NC,7,John Watson,WAT,McLaren Ford,22,DNF,0
NC,4,Jean-Pierre Jarier,JAR,Tyrrell Ford,20,DNF,0
NC,9,Hans-Joachim Stuck,STU,ATS Ford,19,DNF,0
NC,17,Jan Lammers,LAM,Shadow Ford,12,DNF,0
NC,1,Mario Andretti,AND,Lotus Ford,9,DNF,0
NC,29,Riccardo Patrese,PAT,Arrows Ford,7,DNF,0
NC,8,Patrick Tambay,TAM,McLaren Ford,6,DNF,0
NC,5,Niki Lauda,LAU,Brabham Alfa Romeo,4,DNF,0
NC,14,Emerson Fittipaldi,FIT,Fittipaldi Ford,2,DNF,0
NC,2,Carlos Reutemann,REU,Lotus Ford,1,DNF,0
NC,16,Rene Arnoux,ARN,Renault,1,DNF,0
NC,28,Clay Regazzoni,REG,Williams Ford,0,DNF,0
