Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,1,Keke Rosberg,ROS,Williams Ford,1:34.526
2,15,Alain Prost,PRO,Renault,1:34.672
3,27,Patrick Tambay,TAM,Ferrari,1:34.758
4,5,Nelson Piquet,PIQ,Brabham BMW,1:35.114
5,35,Derek Warwick,WAR,Toleman Hart,1:35.206
6,28,Rene Arnoux,ARN,Ferrari,1:35.547
7,6,Riccardo Patrese,PAT,Brabham BMW,1:35.958
8,16,Eddie Cheever,CHE,Renault,1:36.051
9,8,Niki Lauda,LAU,McLaren Ford,1:36.054
10,23,Mauro Baldi,BAL,Alfa Romeo,1:36.126
11,3,Michele Alboreto,ALB,Tyrrell Ford,1:36.291
12,25,Jean-Pierre Jarier,JAR,Ligier Ford,1:36.393
13,11,Elio de Angelis,DEA,Lotus Renault,1:36.454
14,33,Roberto Guerrero,GUE,Theodore Ford,1:36.694
15,36,Bruno Giacomelli,GIA,Toleman Hart,1:36.747
16,7,John Watson,WAT,McLaren Ford,1:36.977
17,26,Raul Boesel,BOE,Ligier Ford,1:37.729
18,2,Jacques Laffite,LAF,Williams Ford,1:38.234
19,34,Johnny Cecotto,CEC,Theodore Ford,1:38.378
20,29,Marc Surer,SUR,Arrows Ford,1:38.468
21,4,Danny Sullivan,SUL,Tyrrell Ford,1:38.686
22,12,Nigel Mansell,MAN,Lotus Ford,1:39.154
23,30,Chico Serra,SER,Arrows Ford,1:39.965
24,31,Corrado Fabi,FAB,Osella Ford,1:40.309
25,9,Manfred Winkelhock,WIN,ATS BMW,1:41.153
26,17,Eliseo Salazar,SAL,RAM Ford,1:41.478
NC,32,Piercarlo Ghinzani,GHI,Osella Ford,1:42.267
