Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,27,Patrick Tambay,TAM,Ferrari,1:26.117
2,28,Rene Arnoux,ARN,Ferrari,1:26.935
3,1,Keke Rosberg,ROS,Williams Ford,1:27.145
4,2,Jacques Laffite,LAF,Williams Ford,1:27.818
5,11,Elio de Angelis,DEA,Lotus Renault,1:27.982
6,35,Derek Warwick,WAR,Toleman Hart,1:28.130
7,3,Michele Alboreto,ALB,Tyrrell Ford,1:28.425
8,15,Alain Prost,PRO,Renault,1:28.558
9,4,Danny Sullivan,SUL,Tyrrell Ford,1:28.833
10,25,Jean-Pierre Jarier,JAR,Ligier Ford,1:28.913
11,6,Riccardo Patrese,PAT,Brabham BMW,1:28.958
12,30,Alan Jones,JON,Arrows Ford,1:29.112
13,12,Nigel Mansell,MAN,Lotus Ford,1:29.167
14,36,Bruno Giacomelli,GIA,Toleman Hart,1:29.266
15,16,Eddie Cheever,CHE,Renault,1:29.422
16,29,Marc Surer,SUR,Arrows Ford,1:29.521
17,34,Johnny Cecotto,CEC,Theodore Ford,1:29.559
18,33,Roberto Guerrero,GUE,Theodore Ford,1:29.585
19,22,Andrea de Cesaris,DEC,Alfa Romeo,1:29.603
20,5,Nelson Piquet,PIQ,Brabham BMW,1:30.034
21,23,Mauro Baldi,BAL,Alfa Romeo,1:30.070
22,7,John Watson,WAT,McLaren Ford,1:30.100
23,8,Niki Lauda,LAU,McLaren Ford,1:30.188
24,9,Manfred Winkelhock,WIN,ATS BMW,1:30.220
25,17,Eliseo Salazar,SAL,RAM Ford,1:31.126
26,26,Raul Boesel,BOE,Ligier Ford,1:31.759
NC,31,Corrado Fabi,FAB,Osella Ford,1:31.901
NC,32,Piercarlo Ghinzani,GHI,Osella Ford,1:32.182
