Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,28,Rene Arnoux,ARN,Ferrari,1:31.238
2,5,Nelson Piquet,PIQ,Brabham BMW,1:31.964
3,27,Patrick Tambay,TAM,Ferrari,1:31.967
4,15,Alain Prost,PRO,Renault,1:32.138
5,6,Riccardo Patrese,PAT,Brabham BMW,1:32.969
6,16,Eddie Cheever,CHE,Renault,1:33.450
7,9,Manfred Winkelhock,WIN,ATS BMW,1:33.470
8,22,Andrea de Cesaris,DEC,Alfa Romeo,1:33.528
9,11,Elio de Angelis,DEA,Lotus Renault,1:34.332
10,23,Mauro Baldi,BAL,Alfa Romeo,1:35.000
11,1,Keke Rosberg,ROS,Williams Ford,1:35.086
12,29,Marc Surer,SUR,Arrows Ford,1:35.411
13,3,Michele Alboreto,ALB,Tyrrell Ford,1:35.525
14,35,Derek Warwick,WAR,Toleman Hart,1:35.676
15,12,Nigel Mansell,MAN,Lotus Ford,1:35.703
16,2,Jacques Laffite,LAF,Williams Ford,1:35.707
17,36,Bruno Giacomelli,GIA,Toleman Hart,1:35.969
18,8,Niki Lauda,LAU,McLaren Ford,1:36.099
19,25,Jean-Pierre Jarier,JAR,Ligier Ford,1:36.116
20,30,Chico Serra,SER,Arrows Ford,1:36.258
21,33,Roberto Guerrero,GUE,Theodore Ford,1:36.324
22,4,Danny Sullivan,SUL,Tyrrell Ford,1:36.359
23,34,Johnny Cecotto,CEC,Theodore Ford,1:36.638
24,7,John Watson,WAT,McLaren Ford,1:36.652
25,26,Raul Boesel,BOE,Ligier Ford,1:37.322
26,31,Corrado Fabi,FAB,Osella Ford,1:37.711
NC,17,Eliseo Salazar,SAL,RAM Ford,1:38.097
NC,32,Piercarlo Ghinzani,GHI,Osella Alfa Romeo,1:38.873
