Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,6,Nelson Piquet,PIQ,Williams Honda,1:22.461
2,5,Nigel Mansell,MAN,Williams Honda,1:23.081
3,28,Gerhard Berger,BER,Ferrari,1:23.164
4,27,Michele Alboreto,ALB,Ferrari,1:24.192
5,12,Ayrton Senna,SEN,Lotus Honda,1:24.320
6,19,Teo Fabi,FAB,Benetton Ford,1:24.523
7,1,Alain Prost,PRO,McLaren TAG,1:24.596
8,20,Thierry Boutsen,BOU,Benetton Ford,1:25.295
9,7,Riccardo Patrese,PAT,Brabham BMW,1:25.335
10,8,Andrea de Cesaris,DEC,Brabham BMW,1:25.811
11,2,Stefan Johansson,JOH,McLaren TAG,1:26.147
12,17,Derek Warwick,WAR,Arrows Megatron,1:26.728
13,18,Eddie Cheever,CHE,Arrows Megatron,1:27.062
14,25,Rene Arnoux,ARN,Ligier Megatron,1:28.241
15,4,Philippe Streiff,STR,Tyrrell Ford,1:28.330
16,3,Jonathan Palmer,PAL,Tyrrell Ford,1:28.353
17,30,Philippe Alliot,ALL,Lola Ford,1:28.361
18,11,Satoru Nakajima,NAK,Lotus Honda,1:28.367
19,16,Ivan Capelli,CAP,March Ford,1:28.477
20,9,Martin Brundle,BRU,Zakspeed,1:28.597
21,24,Alessandro Nannini,NAN,Minardi Motori Moderni,1:28.602
22,10,Christian Danner,DAN,Zakspeed,1:28.667
23,26,Piercarlo Ghinzani,GHI,Ligier Megatron,1:29.066
24,23,Adrian Campos,CAM,Minardi Motori Moderni,1:29.538
25,14,Pascal Fabre,FAB,AGS Ford,1:30.694
26,32,Nicola Larini,LAR,Coloni Ford,1:30.982
27,21,Alex Caffi,CAF,Osella Alfa Romeo,1:31.069
28,22,Franco Forini,FOR,Osella Alfa Romeo,1:34.723
