Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,28,Gerhard Berger,BER,Ferrari,1:17.267
2,1,Alain Prost,PRO,McLaren TAG,1:17.967
3,6,Nelson Piquet,PIQ,Williams Honda,1:18.017
4,12,Ayrton Senna,SEN,Lotus Honda,1:18.488
5,20,Thierry Boutsen,BOU,Benetton Ford,1:18.523
6,27,Michele Alboreto,ALB,Ferrari,1:18.578
7,5,Riccardo Patrese,PAT,Williams Honda,1:18.813
8,2,Stefan Johansson,JOH,McLaren TAG,1:18.826
9,19,Teo Fabi,FAB,Benetton Ford,1:19.461
10,8,Andrea de Cesaris,DEC,Brabham BMW,1:19.590
11,18,Eddie Cheever,CHE,Arrows Megatron,1:20.187
12,17,Derek Warwick,WAR,Arrows Megatron,1:20.638
13,24,Alessandro Nannini,NAN,Minardi Motori Moderni,1:20.701
14,11,Satoru Nakajima,NAK,Lotus Honda,1:20.891
15,7,Stefano Modena,MOD,Brabham BMW,1:21.014
16,9,Martin Brundle,BRU,Zakspeed,1:21.483
17,30,Philippe Alliot,ALL,Lola Ford,1:21.888
18,4,Philippe Streiff,STR,Tyrrell Ford,1:21.971
19,3,Jonathan Palmer,PAL,Tyrrell Ford,1:22.087
20,25,Rene Arnoux,ARN,Ligier Megatron,1:22.303
21,29,Yannick Dalmas,DAL,Lola Ford,1:22.650
22,26,Piercarlo Ghinzani,GHI,Ligier Megatron,1:22.689
23,16,Ivan Capelli,CAP,March Ford,1:22.698
24,10,Christian Danner,DAN,Zakspeed,1:22.736
25,14,Roberto Moreno,MOR,AGS Ford,1:23.659
26,23,Adrian Campos,CAM,Minardi Motori Moderni,1:24.121
27,21,Alex Caffi,CAF,Osella Alfa Romeo,1:25.872
