Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,5,Nigel Mansell,MAN,Williams Honda,1:23.039
2,12,Ayrton Senna,SEN,Lotus Honda,1:23.711
3,6,Nelson Piquet,PIQ,Williams Honda,1:24.755
4,1,Alain Prost,PRO,McLaren TAG,1:25.083
5,27,Michele Alboreto,ALB,Ferrari,1:26.102
6,18,Eddie Cheever,CHE,Arrows Megatron,1:26.175
7,2,Stefan Johansson,JOH,McLaren TAG,1:26.317
8,28,Gerhard Berger,BER,Ferrari,1:26.323
9,20,Thierry Boutsen,BOU,Benetton Ford,1:26.630
10,7,Riccardo Patrese,PAT,Brabham BMW,1:26.763
11,17,Derek Warwick,WAR,Arrows Megatron,1:27.294
12,19,Teo Fabi,FAB,Benetton Ford,1:27.622
13,24,Alessandro Nannini,NAN,Minardi Motori Moderni,1:27.731
14,9,Martin Brundle,BRU,Zakspeed,1:27.894
15,3,Jonathan Palmer,PAL,Tyrrell Ford,1:28.088
16,21,Alex Caffi,CAF,Osella Alfa Romeo,1:28.233
17,11,Satoru Nakajima,NAK,Lotus Honda,1:28.890
18,30,Philippe Alliot,ALL,Lola Ford,1:29.114
19,16,Ivan Capelli,CAP,March Ford,1:29.147
20,26,Piercarlo Ghinzani,GHI,Ligier Megatron,1:29.258
21,8,Andrea de Cesaris,DEC,Brabham BMW,1:29.827
22,25,Rene Arnoux,ARN,Ligier Megatron,1:30.000
23,4,Philippe Streiff,STR,Tyrrell Ford,1:30.143
24,23,Adrian Campos,CAM,Minardi Motori Moderni,1:30.805
25,14,Pascal Fabre,FAB,AGS Ford,1:31.667
