Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,12,Ayrton Senna,SEN,McLaren Honda,1:17.748
2,11,Alain Prost,PRO,McLaren Honda,1:17.880
3,5,Nigel Mansell,MAN,Williams Judd,1:19.427
4,28,Gerhard Berger,BER,Ferrari,1:19.517
5,1,Nelson Piquet,PIQ,Lotus Honda,1:19.535
6,6,Riccardo Patrese,PAT,Williams Judd,1:19.925
7,17,Derek Warwick,WAR,Arrows Megatron,1:20.086
8,19,Alessandro Nannini,NAN,Benetton Ford,1:20.182
9,16,Ivan Capelli,CAP,March Judd,1:20.459
10,20,Thierry Boutsen,BOU,Benetton Ford,1:20.486
11,36,Alex Caffi,CAF,Dallara Ford,1:20.781
12,27,Michele Alboreto,ALB,Ferrari,1:20.844
13,2,Satoru Nakajima,NAK,Lotus Honda,1:20.852
14,23,Pierluigi Martini,MAR,Minardi Ford,1:21.133
15,22,Andrea de Cesaris,DEC,Rial Ford,1:21.164
16,14,Philippe Streiff,STR,AGS Ford,1:21.262
17,3,Jonathan Palmer,PAL,Tyrrell Ford,1:21.307
18,18,Eddie Cheever,CHE,Arrows Megatron,1:21.393
19,15,Mauricio Gugelmin,GUG,March Judd,1:21.554
20,33,Stefano Modena,MOD,Euro Brun Ford,1:21.856
21,24,Luis Perez-Sala,PER,Minardi Ford,1:21.893
22,26,Stefan Johansson,JOH,Ligier Judd,1:21.988
23,25,Rene Arnoux,ARN,Ligier Judd,1:22.028
24,30,Philippe Alliot,ALL,Lola Ford,1:22.211
25,32,Oscar Larrauri,LAR,Euro Brun Ford,1:22.213
26,9,Piercarlo Ghinzani,GHI,Zakspeed,1:22.348
27,31,Gabriele Tarquini,TAR,Coloni Ford,1:22.393
28,4,Julian Bailey,BAI,Tyrrell Ford,1:22.529
29,29,Pierre Henri Raphanel,RAP,Lola Ford,1:22.733
30,10,Bernd Schneider,SCH,Zakspeed,1:23.025
