Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,12,Ayrton Senna,SEN,McLaren Honda,1:21.681
2,11,Alain Prost,PRO,McLaren Honda,1:21.863
3,28,Gerhard Berger,BER,Ferrari,1:22.719
4,27,Michele Alboreto,ALB,Ferrari,1:23.296
5,19,Alessandro Nannini,NAN,Benetton Ford,1:23.968
6,1,Nelson Piquet,PIQ,Lotus Honda,1:23.995
7,20,Thierry Boutsen,BOU,Benetton Ford,1:24.115
8,18,Eddie Cheever,CHE,Arrows Megatron,1:24.679
9,5,Nigel Mansell,MAN,Williams Judd,1:24.844
10,14,Philippe Streiff,STR,AGS Ford,1:24.968
11,6,Riccardo Patrese,PAT,Williams Judd,1:24.971
12,22,Andrea de Cesaris,DEC,Rial Ford,1:24.988
13,2,Satoru Nakajima,NAK,Lotus Honda,1:25.373
14,16,Ivan Capelli,CAP,March Judd,1:25.609
15,33,Stefano Modena,MOD,Euro Brun Ford,1:25.713
16,17,Derek Warwick,WAR,Arrows Megatron,1:25.740
17,30,Philippe Alliot,ALL,Lola Ford,1:25.765
18,15,Mauricio Gugelmin,GUG,March Judd,1:25.910
19,3,Jonathan Palmer,PAL,Tyrrell Ford,1:26.092
20,25,Rene Arnoux,ARN,Ligier Judd,1:26.327
21,24,Luis Perez-Sala,PER,Minardi Ford,1:26.437
22,9,Piercarlo Ghinzani,GHI,Zakspeed,1:26.784
23,4,Julian Bailey,BAI,Tyrrell Ford,1:27.139
24,32,Oscar Larrauri,LAR,Euro Brun Ford,1:27.321
25,26,Stefan Johansson,JOH,Ligier Judd,1:27.637
26,31,Gabriele Tarquini,TAR,Coloni Ford,1:27.665
27,23,Adrian Campos,CAM,Minardi Ford,1:27.885
28,21,Nicola Larini,LAR,Osella,1:27.981
29,29,Yannick Dalmas,DAL,Lola Ford,1:28.012
30,10,Bernd Schneider,SCH,Zakspeed,1:28.215
