Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,1,Ayrton Senna,SEN,McLaren Honda,1:42.300
2,2,Alain Prost,PRO,McLaren Honda,1:43.295
3,27,Nigel Mansell,MAN,Ferrari,1:44.020
4,28,Gerhard Berger,BER,Ferrari,1:44.467
5,6,Riccardo Patrese,PAT,Williams Renault,1:44.511
5,41,Yannick Dalmas,DAL,AGS Ford,1:47.920
6,5,Thierry Boutsen,BOU,Williams Renault,1:44.702
6,17,Nicola Larini,LAR,Osella Ford,1:48.301
7,19,Alessandro Nannini,NAN,Benetton Ford,1:45.033
7,40,Gabriele Tarquini,TAR,AGS Ford,1:48.558
8,11,Nelson Piquet,PIQ,Lotus Judd,1:45.475
8,18,Piercarlo Ghinzani,GHI,Osella Ford,1:48.564
9,20,Emanuele Pirro,PIR,Benetton Ford,1:45.845
9,31,Roberto Moreno,MOR,Coloni Ford,1:48.567
10,4,Jean Alesi,ALE,Tyrrell Ford,1:46.888
10,32,Pierre Henri Raphanel,RAP,Coloni Ford,1:48.780
11,26,Olivier Grouillard,GRO,Ligier Ford,1:46.893
11,33,Gregor Foitek,FOI,Euro Brun Judd,1:49.458
12,7,Martin Brundle,BRU,Brabham Judd,1:47.216
12,35,Aguri Suzuki,SUZ,Zakspeed Yamaha,1:49.527
13,23,Pierluigi Martini,MAR,Minardi Ford,1:47.380
13,34,Bernd Schneider,SCH,Zakspeed Yamaha,1:50.455
14,15,Mauricio Gugelmin,GUG,March Judd,1:47.387
15,30,Philippe Alliot,ALL,Lola Lamborghini,1:47.486
16,8,Stefano Modena,MOD,Brabham Judd,1:47.511
17,9,Derek Warwick,WAR,Arrows Ford,1:47.533
18,12,Satoru Nakajima,NAK,Lotus Judd,1:47.663
19,3,Jonathan Palmer,PAL,Tyrrell Ford,1:47.676
20,21,Alex Caffi,CAF,Dallara Ford,1:47.679
21,22,Andrea de Cesaris,DEC,Dallara Ford,1:47.879
22,16,Ivan Capelli,CAP,March Judd,1:48.078
23,25,Rene Arnoux,ARN,Ligier Ford,1:48.266
24,36,Stefan Johansson,JOH,Onyx Ford,1:48.348
25,10,Eddie Cheever,CHE,Arrows Ford,1:48.396
26,29,Michele Alboreto,ALB,Lola Lamborghini,1:48.670
27,24,Luis Perez-Sala,PER,Minardi Ford,1:48.686
28,37,Bertrand Gachot,GAC,Onyx Ford,1:49.004
29,38,Christian Danner,DAN,Rial Ford,1:49.767
30,39,Volker Weidler,WEI,Rial Ford,1:49.770
