Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,1,Ayrton Senna,SEN,McLaren Honda,1:30.108
2,2,Alain Prost,PRO,McLaren Honda,1:31.517
3,19,Alessandro Nannini,NAN,Benetton Ford,1:31.799
4,27,Nigel Mansell,MAN,Ferrari,1:31.927
5,7,Martin Brundle,BRU,Brabham Judd,1:31.960
5,18,Piercarlo Ghinzani,GHI,Osella Ford,1:34.281
6,21,Alex Caffi,CAF,Dallara Ford,1:32.160
6,32,Pierre Henri Raphanel,RAP,Coloni Ford,1:35.110
7,8,Stefano Modena,MOD,Brabham Judd,1:32.286
7,33,Gregor Foitek,FOI,Euro Brun Judd,1:35.805
8,28,Gerhard Berger,BER,Ferrari,1:32.364
8,17,Nicola Larini,LAR,Osella Ford,1:36.470
9,4,Michele Alboreto,ALB,Tyrrell Ford,1:32.491
9,41,Joachim Winkelhock,WIN,AGS Ford,1:36.498
10,9,Derek Warwick,WAR,Arrows Ford,1:32.492
10,39,Volker Weidler,WEI,Rial Ford,1:36.583
11,16,Ivan Capelli,CAP,March Judd,1:32.493
11,34,Bernd Schneider,SCH,Zakspeed Yamaha,1:36.610
12,30,Philippe Alliot,ALL,Lola Lamborghini,1:32.562
12,35,Aguri Suzuki,SUZ,Zakspeed Yamaha,1:37.776
13,22,Andrea de Cesaris,DEC,Dallara Ford,1:32.649
13,37,Bertrand Gachot,GAC,Onyx Ford,1:45.530
14,6,Riccardo Patrese,PAT,Williams Renault,1:32.795
15,23,Pierluigi Martini,MAR,Minardi Ford,1:33.031
16,5,Thierry Boutsen,BOU,Williams Renault,1:33.044
17,10,Eddie Cheever,CHE,Arrows Ford,1:33.214
18,15,Mauricio Gugelmin,GUG,March Judd,1:33.324
19,36,Stefan Johansson,JOH,Onyx Ford,1:33.370
20,24,Luis Perez-Sala,PER,Minardi Ford,1:33.724
21,3,Jonathan Palmer,PAL,Tyrrell Ford,1:33.741
22,11,Nelson Piquet,PIQ,Lotus Judd,1:33.745
23,12,Satoru Nakajima,NAK,Lotus Judd,1:33.782
24,40,Gabriele Tarquini,TAR,AGS Ford,1:33.790
25,20,Johnny Herbert,HER,Benetton Ford,1:33.806
26,38,Christian Danner,DAN,Rial Ford,1:33.848
27,26,Olivier Grouillard,GRO,Ligier Ford,1:34.153
28,31,Roberto Moreno,MOR,Coloni Ford,1:34.352
29,25,Rene Arnoux,ARN,Ligier Ford,1:34.798
30,29,Yannick Dalmas,DAL,Lola Lamborghini,1:35.496
