Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,5,Thierry Boutsen,BOU,Williams Renault,69,2:01:24.073,9
2,6,Riccardo Patrese,PAT,Williams Renault,69,+30.007s,6
3,22,Andrea de Cesaris,DEC,Dallara Ford,69,+96.649s,4
4,11,Nelson Piquet,PIQ,Lotus Judd,69,+101.484s,3
5,25,Rene Arnoux,ARN,Ligier Ford,68,+1 lap,2
6,21,Alex Caffi,CAF,Dallara Ford,67,+2 laps,1
7,1,Ayrton Senna,SEN,McLaren Honda,66,DNF,0
8,38,Christian Danner,DAN,Rial Ford,66,+3 laps,0
NC,31,Roberto Moreno,MOR,Coloni Ford,57,DNF,0
NC,9,Derek Warwick,WAR,Arrows Ford,40,DNF,0
NC,3,Jonathan Palmer,PAL,Tyrrell Ford,35,DNF,0
NC,17,Nicola Larini,LAR,Osella Ford,33,DNF,0
NC,16,Ivan Capelli,CAP,March Judd,28,DNF,0
NC,30,Philippe Alliot,ALL,Lola Lamborghini,26,DNF,0
NC,36,Stefan Johansson,JOH,Onyx Ford,13,DNF,0
NC,24,Luis Perez-Sala,PER,Minardi Ford,11,DNF,0
NC,15,Mauricio Gugelmin,GUG,March Judd,11,DNF,0
NC,28,Gerhard Berger,BER,Ferrari,6,DNF,0
NC,40,Gabriele Tarquini,TAR,AGS Ford,6,DNF,0
NC,10,Eddie Cheever,CHE,Arrows Ford,3,DNF,0
NC,2,Alain Prost,PRO,McLaren Honda,2,DNF,0
