Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,2,Nigel Mansell,MAN,Ferrari,1:13.557
2,1,Alain Prost,PRO,Ferrari,1:13.595
3,27,Ayrton Senna,SEN,McLaren Honda,1:13.601
4,28,Gerhard Berger,BER,McLaren Honda,1:14.292
5,6,Riccardo Patrese,PAT,Williams Renault,1:14.723
5,33,Roberto Moreno,MOR,Euro Brun Judd,1:21.188
6,20,Nelson Piquet,PIQ,Benetton Ford,1:14.728
6,34,Claudio Langes,LAN,Euro Brun Judd,1:23.447
7,5,Thierry Boutsen,BOU,Williams Renault,1:14.934
8,4,Jean Alesi,ALE,Tyrrell Ford,1:15.122
9,19,Alessandro Nannini,NAN,Benetton Ford,1:15.411
10,29,Eric Bernard,BER,Lola Lamborghini,1:15.673
11,30,Aguri Suzuki,SUZ,Lola Lamborghini,1:16.012
12,16,Ivan Capelli,CAP,Leyton House Judd,1:16.284
13,21,Emanuele Pirro,PIR,Dallara Ford,1:16.290
14,15,Mauricio Gugelmin,GUG,Leyton House Judd,1:16.296
15,12,Martin Donnelly,DON,Lotus Lamborghini,1:16.762
16,23,Pierluigi Martini,MAR,Minardi Ford,1:16.795
17,10,Alex Caffi,CAF,Arrows Ford,1:16.946
18,22,Andrea de Cesaris,DEC,Dallara Ford,1:17.066
19,9,Michele Alboreto,ALB,Arrows Ford,1:17.081
20,3,Satoru Nakajima,NAK,Tyrrell Ford,1:17.097
21,26,Philippe Alliot,ALL,Ligier Ford,1:17.120
22,11,Derek Warwick,WAR,Lotus Lamborghini,1:17.259
23,25,Nicola Larini,LAR,Ligier Ford,1:17.269
24,8,Stefano Modena,MOD,Brabham Judd,1:17.341
25,18,Yannick Dalmas,DAL,AGS Ford,1:17.621
26,7,David Brabham,BRA,Brabham Judd,1:17.715
27,14,Olivier Grouillard,GRO,Osella Ford,1:17.775
28,24,Paolo Barilla,BAR,Minardi Ford,1:18.280
29,17,Gabriele Tarquini,TAR,AGS Ford,1:18.815
30,31,Bertrand Gachot,GAC,Coloni Ford,1:20.516
