Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,27,Ayrton Senna,SEN,McLaren Honda,1:21.314
2,1,Alain Prost,PRO,Ferrari,1:21.776
3,4,Jean Alesi,ALE,Tyrrell Ford,1:21.801
4,6,Riccardo Patrese,PAT,Williams Renault,1:22.026
5,28,Gerhard Berger,BER,McLaren Honda,1:22.682
5,17,Gabriele Tarquini,TAR,AGS Ford,1:28.677
6,5,Thierry Boutsen,BOU,Williams Renault,1:22.691
6,18,Yannick Dalmas,DAL,AGS Ford,1:30.511
7,2,Nigel Mansell,MAN,Ferrari,1:22.733
7,34,Claudio Langes,LAN,Euro Brun Judd,1:33.195
8,23,Pierluigi Martini,MAR,Minardi Ford,1:23.149
8,31,Bertrand Gachot,GAC,Coloni Subaru,1:39.295
9,21,Emanuele Pirro,PIR,Dallara Ford,1:23.494
9,39,Bruno Giacomelli,GIA,Life,1:41.187
10,20,Nelson Piquet,PIQ,Benetton Ford,1:23.566
11,12,Martin Donnelly,DON,Lotus Lamborghini,1:23.600
12,22,Andrea de Cesaris,DEC,Dallara Ford,1:23.613
13,11,Derek Warwick,WAR,Lotus Lamborghini,1:23.656
14,8,Stefano Modena,MOD,Brabham Judd,1:23.920
15,30,Aguri Suzuki,SUZ,Lola Lamborghini,1:24.023
16,19,Alessandro Nannini,NAN,Benetton Ford,1:24.139
17,25,Nicola Larini,LAR,Ligier Ford,1:24.206
18,26,Philippe Alliot,ALL,Ligier Ford,1:24.294
19,24,Paolo Barilla,BAR,Minardi Ford,1:24.334
20,35,Gregor Foitek,FOI,Onyx Ford,1:24.367
21,3,Satoru Nakajima,NAK,Tyrrell Ford,1:24.371
22,10,Alex Caffi,CAF,Arrows Ford,1:25.000
23,16,Ivan Capelli,CAP,Leyton House Judd,1:25.020
24,29,Eric Bernard,BER,Lola Lamborghini,1:25.398
25,7,David Brabham,BRA,Brabham Judd,1:25.420
26,36,Jyrki Jarvilehto,JAR,Onyx Ford,1:25.508
27,9,Michele Alboreto,ALB,Arrows Ford,1:25.622
28,14,Olivier Grouillard,GRO,Osella Ford,1:25.785
29,15,Mauricio Gugelmin,GUG,Leyton House Judd,1:26.192
30,33,Roberto Moreno,MOR,Euro Brun Judd,1:26.604
