Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,2,Nigel Mansell,MAN,Ferrari,1:04.402
2,28,Gerhard Berger,BER,McLaren Honda,1:04.512
3,27,Ayrton Senna,SEN,McLaren Honda,1:04.549
4,1,Alain Prost,PRO,Ferrari,1:04.781
5,19,Alessandro Nannini,NAN,Benetton Ford,1:05.009
5,14,Olivier Grouillard,GRO,Osella Ford,1:08.219
6,6,Riccardo Patrese,PAT,Williams Renault,1:05.059
6,33,Roberto Moreno,MOR,Euro Brun Judd,1:09.885
7,16,Ivan Capelli,CAP,Leyton House Judd,1:05.369
7,34,Claudio Langes,LAN,Euro Brun Judd,1:10.368
8,5,Thierry Boutsen,BOU,Williams Renault,1:05.446
8,31,Bertrand Gachot,GAC,Coloni Subaru,14:02.465
9,20,Nelson Piquet,PIQ,Benetton Ford,1:05.640
10,15,Mauricio Gugelmin,GUG,Leyton House Judd,1:05.818
11,29,Eric Bernard,BER,Lola Lamborghini,1:05.852
12,26,Philippe Alliot,ALL,Ligier Ford,1:05.986
13,4,Jean Alesi,ALE,Tyrrell Ford,1:06.084
14,30,Aguri Suzuki,SUZ,Lola Lamborghini,1:06.100
15,3,Satoru Nakajima,NAK,Tyrrell Ford,1:06.563
16,11,Derek Warwick,WAR,Lotus Lamborghini,1:06.624
17,12,Martin Donnelly,DON,Lotus Lamborghini,1:06.647
18,9,Michele Alboreto,ALB,Arrows Ford,1:06.847
19,25,Nicola Larini,LAR,Ligier Ford,1:06.856
20,8,Stefano Modena,MOD,Brabham Judd,1:06.937
21,22,Andrea de Cesaris,DEC,Dallara Ford,1:07.137
22,10,Alex Caffi,CAF,Arrows Ford,1:07.207
23,23,Pierluigi Martini,MAR,Minardi Ford,1:07.315
24,21,Emanuele Pirro,PIR,Dallara Ford,1:07.687
25,7,David Brabham,BRA,Brabham Judd,1:07.733
26,18,Yannick Dalmas,DAL,AGS Ford,1:07.926
27,24,Paolo Barilla,BAR,Minardi Ford,1:08.008
28,17,Gabriele Tarquini,TAR,AGS Ford,1:08.147
29,35,Gregor Foitek,FOI,Onyx Ford,1:08.232
30,36,Jyrki Jarvilehto,JAR,Onyx Ford,1:08.487
