Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,2,Gerhard Berger,BER,McLaren Honda,1:34.700
2,1,Ayrton Senna,SEN,McLaren Honda,1:34.898
3,5,Nigel Mansell,MAN,Williams Renault,1:34.922
4,27,Alain Prost,PRO,Ferrari,1:36.670
5,6,Riccardo Patrese,PAT,Williams Renault,1:36.882
5,8,Mark Blundell,BLU,Brabham Yamaha,1:44.004
6,28,Jean Alesi,ALE,Ferrari,1:37.140
6,31,Naoki Hattori,HAT,Coloni Ford,2:00.035
7,23,Pierluigi Martini,MAR,Minardi Ferrari,1:38.154
8,24,Gianni Morbidelli,MOR,Minardi Ferrari,1:38.248
9,19,Michael Schumacher,MSC,Benetton Ford,1:38.363
10,20,Nelson Piquet,PIQ,Benetton Ford,1:38.614
11,33,Andrea de Cesaris,DEC,Jordan Ford,1:38.842
12,22,Jyrki Jarvilehto,JAR,Dallara Judd,1:38.911
13,32,Alessandro Zanardi,ZAN,Jordan Ford,1:38.923
14,4,Stefano Modena,MOD,Tyrrell Honda,1:38.926
15,3,Satoru Nakajima,NAK,Tyrrell Honda,1:39.118
16,21,Emanuele Pirro,PIR,Dallara Judd,1:39.238
17,25,Thierry Boutsen,BOU,Ligier Lamborghini,1:39.499
18,15,Mauricio Gugelmin,GUG,Leyton House Ilmor,1:39.518
19,7,Martin Brundle,BRU,Brabham Yamaha,1:39.697
20,26,Erik Comas,COM,Ligier Lamborghini,1:39.820
21,11,Mika Hakkinen,HAK,Lotus Judd,1:40.024
22,16,Karl Wendlinger,WEN,Leyton House Ilmor,1:40.092
23,12,Johnny Herbert,HER,Lotus Judd,1:40.170
24,14,Gabriele Tarquini,TAR,Fondmetal Ford,1:40.184
25,30,Aguri Suzuki,SUZ,Lola Ford,1:40.255
26,10,Alex Caffi,CAF,Footwork Porsche,1:40.402
27,9,Michele Alboreto,ALB,Footwork Porsche,1:40.844
28,34,Nicola Larini,LAR,Lambo Lamborghini,1:42.492
29,35,Eric van de Poele,VAN,Lambo Lamborghini,1:42.724
