Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,1,Ayrton Senna,SEN,McLaren Honda,1:21.434
2,27,Alain Prost,PRO,Ferrari,1:22.555
3,6,Riccardo Patrese,PAT,Williams Renault,1:22.833
4,5,Nigel Mansell,MAN,Williams Renault,1:23.218
5,20,Nelson Piquet,PIQ,Benetton Ford,1:23.384
5,33,Andrea de Cesaris,DEC,Jordan Ford,1:30.937
6,28,Jean Alesi,ALE,Ferrari,1:23.519
6,31,Pedro Chaves,CHA,Coloni Ford,1:31.113
7,2,Gerhard Berger,BER,McLaren Honda,1:23.742
7,14,Olivier Grouillard,GRO,Fondmetal Ford,1:32.126
8,19,Roberto Moreno,MOR,Benetton Ford,1:23.881
8,35,Eric van de Poele,VAN,Lambo Lamborghini,1:37.046
9,21,Emanuele Pirro,PIR,Dallara Judd,1:24.792
10,22,Jyrki Jarvilehto,JAR,Dallara Judd,1:24.891
11,4,Stefano Modena,MOD,Tyrrell Honda,1:25.065
12,7,Martin Brundle,BRU,Brabham Yamaha,1:25.385
13,11,Mika Hakkinen,HAK,Lotus Judd,1:25.448
14,32,Bertrand Gachot,GAC,Jordan Ford,1:25.701
15,23,Pierluigi Martini,MAR,Minardi Ferrari,1:25.715
16,3,Satoru Nakajima,NAK,Tyrrell Honda,1:25.752
17,34,Nicola Larini,LAR,Lambo Lamborghini,1:25.791
18,16,Ivan Capelli,CAP,Leyton House Ilmor,1:26.121
19,29,Eric Bernard,BER,Lola Ford,1:26.425
20,25,Thierry Boutsen,BOU,Ligier Lamborghini,1:26.500
21,30,Aguri Suzuki,SUZ,Lola Ford,1:26.548
22,17,Gabriele Tarquini,TAR,AGS Ford,1:26.851
23,15,Mauricio Gugelmin,GUG,Leyton House Ilmor,1:26.865
24,8,Mark Blundell,BLU,Brabham Yamaha,1:26.915
25,9,Michele Alboreto,ALB,Footwork Porsche,1:27.015
26,24,Gianni Morbidelli,MOR,Minardi Ferrari,1:27.042
27,26,Erik Comas,COM,Ligier Lamborghini,1:27.159
28,10,Alex Caffi,CAF,Footwork Porsche,1:27.519
29,18,Stefan Johansson,JOH,AGS Ford,1:27.753
30,12,Julian Bailey,BAI,Lotus Judd,1:28.570
