Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,6,Riccardo Patrese,PAT,Williams Renault,1:16.696
2,5,Nigel Mansell,MAN,Williams Renault,1:16.978
3,1,Ayrton Senna,SEN,McLaren Honda,1:17.264
4,28,Jean Alesi,ALE,Ferrari,1:18.129
5,2,Gerhard Berger,BER,McLaren Honda,1:18.156
5,35,Eric van de Poele,VAN,Lambo Lamborghini,1:30.655
6,20,Nelson Piquet,PIQ,Benetton Ford,1:18.168
6,31,Pedro Chaves,CHA,Coloni Ford,1:37.144
7,27,Alain Prost,PRO,Ferrari,1:18.183
7,21,Emanuele Pirro,PIR,Dallara Judd,1:40.164
8,4,Stefano Modena,MOD,Tyrrell Honda,1:18.216
9,19,Roberto Moreno,MOR,Benetton Ford,1:18.375
10,14,Olivier Grouillard,GRO,Fondmetal Ford,1:18.453
11,33,Andrea de Cesaris,DEC,Jordan Ford,1:18.935
12,8,Mark Blundell,BLU,Brabham Yamaha,1:19.064
13,3,Satoru Nakajima,NAK,Tyrrell Honda,1:19.092
14,25,Thierry Boutsen,BOU,Ligier Lamborghini,1:19.201
15,23,Pierluigi Martini,MAR,Minardi Ferrari,1:19.215
16,22,Jyrki Jarvilehto,JAR,Dallara Judd,1:19.291
17,7,Martin Brundle,BRU,Brabham Yamaha,1:19.647
18,29,Eric Bernard,BER,Lola Ford,1:19.785
19,30,Aguri Suzuki,SUZ,Lola Ford,1:20.049
20,32,Bertrand Gachot,GAC,Jordan Ford,1:20.050
21,15,Mauricio Gugelmin,GUG,Leyton House Ilmor,1:20.200
22,16,Ivan Capelli,CAP,Leyton House Ilmor,1:20.252
23,24,Gianni Morbidelli,MOR,Minardi Ferrari,1:20.322
24,11,Mika Hakkinen,HAK,Lotus Judd,1:20.823
25,12,Johnny Herbert,HER,Lotus Judd,1:20.830
26,9,Michele Alboreto,ALB,Footwork Porsche,1:21.178
27,26,Erik Comas,COM,Ligier Lamborghini,1:21.225
28,17,Gabriele Tarquini,TAR,AGS Ford,1:22.258
29,10,Stefan Johansson,JOH,Footwork Porsche,1:22.598
30,18,Fabrizio Barbazza,BAR,AGS Ford,1:22.899
