Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,1,Ayrton Senna,SEN,McLaren Honda,1:47.811
2,6,Riccardo Patrese,PAT,Williams Renault,1:48.661
3,27,Alain Prost,PRO,Ferrari,1:48.821
4,5,Nigel Mansell,MAN,Williams Renault,1:48.828
5,2,Gerhard Berger,BER,McLaren Honda,1:49.485
5,9,Michele Alboreto,ALB,Footwork Porsche,1:59.910
6,28,Jean Alesi,ALE,Ferrari,1:49.974
6,17,Gabriele Tarquini,TAR,AGS Ford,1:59.972
7,20,Nelson Piquet,PIQ,Benetton Ford,1:50.540
7,31,Pedro Chaves,CHA,Coloni Ford,2:01.921
8,32,Michael Schumacher,MSC,Jordan Ford,1:51.212
8,18,Fabrizio Barbazza,BAR,AGS Ford,2:03.766
9,19,Roberto Moreno,MOR,Benetton Ford,1:51.283
10,23,Pierluigi Martini,MAR,Minardi Ferrari,1:51.299
11,4,Stefano Modena,MOD,Tyrrell Honda,1:51.307
12,33,Andrea de Cesaris,DEC,Jordan Ford,1:51.986
13,16,Ivan Capelli,CAP,Leyton House Ilmor,1:52.113
14,8,Mark Blundell,BLU,Brabham Yamaha,1:52.377
15,22,Jyrki Jarvilehto,JAR,Dallara Judd,1:52.417
16,15,Mauricio Gugelmin,GUG,Leyton House Ilmor,1:52.623
17,7,Martin Brundle,BRU,Brabham Yamaha,1:52.626
18,25,Thierry Boutsen,BOU,Ligier Lamborghini,1:52.709
19,24,Gianni Morbidelli,MOR,Minardi Ferrari,1:52.896
20,29,Eric Bernard,BER,Lola Ford,1:53.309
21,12,Johnny Herbert,HER,Lotus Judd,1:53.361
22,3,Satoru Nakajima,NAK,Tyrrell Honda,1:53.494
23,14,Olivier Grouillard,GRO,Fondmetal Ford,1:53.628
24,11,Mika Hakkinen,HAK,Lotus Judd,1:53.799
25,21,Emanuele Pirro,PIR,Dallara Judd,1:53.839
26,26,Erik Comas,COM,Ligier Lamborghini,1:53.847
27,30,Aguri Suzuki,SUZ,Lola Ford,1:53.869
28,34,Nicola Larini,LAR,Lambo Lamborghini,1:54.781
29,10,Alex Caffi,CAF,Footwork Porsche,1:57.338
30,35,Eric van de Poele,VAN,Lambo Lamborghini,1:57.746
