Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,1,Ayrton Senna,SEN,McLaren Honda,1:16.392
2,6,Riccardo Patrese,PAT,Williams Renault,1:16.775
3,5,Nigel Mansell,MAN,Williams Renault,1:16.843
4,2,Gerhard Berger,BER,McLaren Honda,1:17.471
5,28,Jean Alesi,ALE,Ferrari,1:17.601
5,35,Eric van de Poele,VAN,Lambo Lamborghini,1:21.919
6,27,Alain Prost,PRO,Ferrari,1:17.739
6,34,Nicola Larini,LAR,Lambo Lamborghini,1:22.944
7,20,Nelson Piquet,PIQ,Benetton Ford,1:18.577
7,31,Pedro Chaves,CHA,Coloni Ford,1:23.231
8,15,Mauricio Gugelmin,GUG,Leyton House Ilmor,1:18.664
8,14,Olivier Grouillard,GRO,Fondmetal Ford,1:23.951
9,4,Stefano Modena,MOD,Tyrrell Honda,1:18.847
10,32,Bertrand Gachot,GAC,Jordan Ford,1:18.882
11,29,Eric Bernard,BER,Lola Ford,1:19.291
12,21,Emanuele Pirro,PIR,Dallara Judd,1:19.305
13,33,Andrea de Cesaris,DEC,Jordan Ford,1:19.339
14,19,Roberto Moreno,MOR,Benetton Ford,1:19.360
15,16,Ivan Capelli,CAP,Leyton House Ilmor,1:19.517
16,3,Satoru Nakajima,NAK,Tyrrell Honda,1:19.546
17,30,Aguri Suzuki,SUZ,Lola Ford,1:19.832
18,25,Thierry Boutsen,BOU,Ligier Lamborghini,1:19.868
19,22,Jyrki Jarvilehto,JAR,Dallara Judd,1:19.954
20,23,Pierluigi Martini,MAR,Minardi Ferrari,1:20.175
21,24,Gianni Morbidelli,MOR,Minardi Ferrari,1:20.502
22,11,Mika Hakkinen,HAK,Lotus Judd,1:20.611
23,26,Erik Comas,COM,Ligier Lamborghini,1:21.168
24,17,Gabriele Tarquini,TAR,AGS Ford,1:21.219
25,8,Mark Blundell,BLU,Brabham Yamaha,1:21.230
26,7,Martin Brundle,BRU,Brabham Yamaha,1:21.280
27,10,Alex Caffi,CAF,Footwork Porsche,1:22.190
28,18,Stefan Johansson,JOH,AGS Ford,1:22.432
29,9,Michele Alboreto,ALB,Footwork Porsche,1:22.739
30,12,Julian Bailey,BAI,Lotus Judd,1:23.590
