Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,6,Riccardo Patrese,PAT,Williams Renault,1:19.837
2,5,Nigel Mansell,MAN,Williams Renault,1:20.225
3,1,Ayrton Senna,SEN,McLaren Honda,1:20.318
4,27,Alain Prost,PRO,Ferrari,1:20.656
5,19,Roberto Moreno,MOR,Benetton Ford,1:20.686
5,14,Olivier Grouillard,GRO,Fondmetal Ford,1:24.795
6,2,Gerhard Berger,BER,McLaren Honda,1:20.916
6,34,Nicola Larini,LAR,Lambo Lamborghini,1:25.736
7,28,Jean Alesi,ALE,Ferrari,1:21.227
7,35,Eric van de Poele,VAN,Lambo Lamborghini,1:26.900
8,20,Nelson Piquet,PIQ,Benetton Ford,1:21.241
8,31,Pedro Chaves,CHA,Coloni Ford,1:34.475
9,4,Stefano Modena,MOD,Tyrrell Honda,1:21.298
10,21,Emanuele Pirro,PIR,Dallara Judd,1:21.864
11,33,Andrea de Cesaris,DEC,Jordan Ford,1:22.154
12,3,Satoru Nakajima,NAK,Tyrrell Honda,1:22.262
13,16,Ivan Capelli,CAP,Leyton House Ilmor,1:22.443
14,32,Bertrand Gachot,GAC,Jordan Ford,1:22.596
15,24,Gianni Morbidelli,MOR,Minardi Ferrari,1:22.993
16,25,Thierry Boutsen,BOU,Ligier Lamborghini,1:23.040
17,22,Jyrki Jarvilehto,JAR,Dallara Judd,1:23.040
18,23,Pierluigi Martini,MAR,Minardi Ferrari,1:23.125
19,29,Eric Bernard,BER,Lola Ford,1:23.260
20,7,Martin Brundle,BRU,Brabham Yamaha,1:23.516
21,9,Michele Alboreto,ALB,Footwork Porsche,1:23.529
22,30,Aguri Suzuki,SUZ,Lola Ford,1:23.585
23,15,Mauricio Gugelmin,GUG,Leyton House Ilmor,1:23.650
24,11,Mika Hakkinen,HAK,Lotus Judd,1:23.923
25,10,Stefan Johansson,JOH,Footwork Porsche,1:24.433
26,26,Erik Comas,COM,Ligier Lamborghini,1:24.460
27,18,Fabrizio Barbazza,BAR,AGS Ford,1:24.491
28,17,Gabriele Tarquini,TAR,AGS Ford,1:24.653
29,8,Mark Blundell,BLU,Brabham Yamaha,1:24.661
30,12,Johnny Herbert,HER,Lotus Judd,1:24.732
