Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,5,Nigel Mansell,MAN,Williams Renault,1:13.864
2,6,Riccardo Patrese,PAT,Williams Renault,1:14.332
3,1,Ayrton Senna,SEN,McLaren Honda,1:15.199
4,2,Gerhard Berger,BER,McLaren Honda,1:15.316
5,19,Michael Schumacher,MSC,Benetton Ford,1:15.569
6,27,Jean Alesi,ALE,Ferrari,1:16.118
7,20,Martin Brundle,BRU,Benetton Ford,1:16.151
8,28,Ivan Capelli,CAP,Ferrari,1:16.443
9,25,Thierry Boutsen,BOU,Ligier Renault,1:16.806
10,26,Erik Comas,COM,Ligier Renault,1:16.938
11,11,Mika Hakkinen,HAK,Lotus Ford,1:16.999
12,12,Johnny Herbert,HER,Lotus Ford,1:17.257
13,29,Bertrand Gachot,GAC,Venturi Lamborghini,1:17.442
14,9,Michele Alboreto,ALB,Footwork Mugen Honda,1:17.508
15,10,Aguri Suzuki,SUZ,Footwork Mugen Honda,1:17.548
16,24,Gianni Morbidelli,MOR,Minardi Lamborghini,1:17.667
17,21,Jyrki Jarvilehto,JAR,Dallara Ferrari,1:17.677
18,30,Ukyo Katayama,KAT,Venturi Lamborghini,1:17.709
19,4,Andrea de Cesaris,DEC,Tyrrell Ilmor,1:17.868
20,32,Stefano Modena,MOD,Jordan Yamaha,1:17.901
21,16,Karl Wendlinger,WEN,March Ilmor,1:17.937
22,3,Olivier Grouillard,GRO,Tyrrell Ilmor,1:17.989
23,15,Gabriele Tarquini,TAR,Fondmetal Ford,1:17.993
24,33,Mauricio Gugelmin,GUG,Jordan Yamaha,1:18.337
25,22,Pierluigi Martini,MAR,Dallara Ferrari,1:18.586
26,14,Andrea Chiesa,CHI,Fondmetal Ford,1:18.701
27,17,Paul Belmondo,BEL,March Ilmor,1:19.354
28,23,Christian Fittipaldi,FIT,Minardi Lamborghini,1:20.062
29,7,Eric van de Poele,VAN,Brabham Judd,1:20.139
30,8,Damon Hill,HIL,Brabham Judd,1:21.412
