Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,5,Nigel Mansell,MAN,Williams Renault,1:22.221
2,1,Ayrton Senna,SEN,McLaren Honda,1:22.822
3,27,Jean Alesi,ALE,Ferrari,1:22.976
4,6,Riccardo Patrese,PAT,Williams Renault,1:23.022
5,2,Gerhard Berger,BER,McLaren Honda,1:23.112
6,19,Michael Schumacher,MSC,Benetton Ford,1:23.629
7,28,Ivan Capelli,CAP,Ferrari,1:24.321
8,25,Thierry Boutsen,BOU,Ligier Renault,1:24.413
9,20,Martin Brundle,BRU,Benetton Ford,1:24.551
10,29,Bertrand Gachot,GAC,Venturi Lamborghini,1:24.654
11,11,Mika Hakkinen,HAK,Lotus Ford,1:24.807
12,24,Gianni Morbidelli,MOR,Minardi Lamborghini,1:24.912
13,12,Johnny Herbert,HER,Lotus Ford,1:25.140
14,21,Jyrki Jarvilehto,JAR,Dallara Ferrari,1:25.145
15,26,Erik Comas,COM,Ligier Renault,1:25.178
16,9,Michele Alboreto,ALB,Footwork Mugen Honda,1:25.234
17,16,Karl Wendlinger,WEN,March Ilmor,1:25.343
18,3,Olivier Grouillard,GRO,Tyrrell Ilmor,1:25.354
19,10,Aguri Suzuki,SUZ,Footwork Mugen Honda,1:25.374
20,15,Gabriele Tarquini,TAR,Fondmetal Ford,1:25.420
21,4,Andrea de Cesaris,DEC,Tyrrell Ilmor,1:25.425
22,22,Pierluigi Martini,MAR,Dallara Ferrari,1:25.528
23,30,Ukyo Katayama,KAT,Venturi Lamborghini,1:26.174
24,17,Emanuele Naspetti,NAS,March Ilmor,1:26.279
25,14,Eric van de Poele,VAN,Fondmetal Ford,1:26.407
26,33,Mauricio Gugelmin,GUG,Jordan Yamaha,1:26.463
27,23,Christian Fittipaldi,FIT,Minardi Lamborghini,1:26.510
28,32,Stefano Modena,MOD,Jordan Yamaha,1:27.331
