Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,2,Alain Prost,PRO,Williams Renault,1:15.696
2,8,Ayrton Senna,SEN,McLaren Ford,1:15.784
3,5,Michael Schumacher,MSC,Benetton Ford,1:17.261
4,0,Damon Hill,HIL,Williams Renault,1:17.592
5,27,Jean Alesi,ALE,Ferrari,1:18.234
6,30,Jyrki Jarvilehto,JAR,Sauber,1:18.664
7,6,Riccardo Patrese,PAT,Benetton Ford,1:18.676
8,26,Mark Blundell,BLU,Ligier Renault,1:18.687
9,7,Michael Andretti,AND,McLaren Ford,1:18.786
10,29,Karl Wendlinger,WEN,Sauber,1:18.950
11,19,Philippe Alliot,ALL,Larrousse Lamborghini,1:19.034
12,25,Martin Brundle,BRU,Ligier Renault,1:19.138
13,23,Christian Fittipaldi,FIT,Minardi Ford,1:19.285
14,14,Rubens Barrichello,BAR,Jordan Hart,1:19.305
15,28,Gerhard Berger,BER,Ferrari,1:19.386
16,11,Alessandro Zanardi,ZAN,Lotus Ford,1:19.396
17,12,Johnny Herbert,HER,Lotus Ford,1:19.498
18,15,Ivan Capelli,CAP,Jordan Hart,1:19.759
19,20,Erik Comas,COM,Larrousse Lamborghini,1:20.081
20,10,Aguri Suzuki,SUZ,Footwork Mugen Honda,1:20.237
21,3,Ukyo Katayama,KAT,Tyrrell Yamaha,1:20.401
22,9,Derek Warwick,WAR,Footwork Mugen Honda,1:20.402
23,4,Andrea de Cesaris,DEC,Tyrrell Yamaha,1:20.660
24,24,Fabrizio Barbazza,BAR,Minardi Ford,1:20.994
25,21,Michele Alboreto,ALB,Lola Ferrari,1:21.893
26,22,Luca Badoer,BAD,Lola Ferrari,1:24.737
