Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,2,Alain Prost,PRO,Williams Renault,1:10.458
2,0,Damon Hill,HIL,Williams Renault,1:10.762
3,5,Michael Schumacher,MSC,Benetton Ford,1:12.008
4,8,Ayrton Senna,SEN,McLaren Ford,1:12.107
5,29,Karl Wendlinger,WEN,Sauber,1:12.738
6,7,Michael Andretti,AND,McLaren Ford,1:12.739
7,30,Jyrki Jarvilehto,JAR,Sauber,1:12.763
8,28,Gerhard Berger,BER,Ferrari,1:12.862
9,27,Jean Alesi,ALE,Ferrari,1:12.980
10,6,Riccardo Patrese,PAT,Benetton Ford,1:12.982
11,12,Johnny Herbert,HER,Lotus Ford,1:13.328
12,14,Rubens Barrichello,BAR,Jordan Hart,1:13.514
13,11,Alessandro Zanardi,ZAN,Lotus Ford,1:13.560
14,9,Derek Warwick,WAR,Footwork Mugen Honda,1:13.664
15,19,Philippe Alliot,ALL,Larrousse Lamborghini,1:13.665
16,23,Christian Fittipaldi,FIT,Minardi Ford,1:13.666
17,20,Erik Comas,COM,Larrousse Lamborghini,1:13.970
18,3,Ukyo Katayama,KAT,Tyrrell Yamaha,1:14.121
19,15,Thierry Boutsen,BOU,Jordan Hart,1:14.246
20,24,Fabrizio Barbazza,BAR,Minardi Ford,1:14.274
21,26,Mark Blundell,BLU,Ligier Renault,1:14.301
22,25,Martin Brundle,BRU,Ligier Renault,1:14.306
23,10,Aguri Suzuki,SUZ,Footwork Mugen Honda,1:14.927
24,21,Michele Alboreto,ALB,Lola Ferrari,1:15.322
25,4,Andrea de Cesaris,DEC,Tyrrell Yamaha,1:15.417
26,22,Luca Badoer,BAD,Lola Ferrari,1:15.641
