Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,14,Rubens Barrichello,BAR,Jordan Hart,2:21.163,9
2,5,Michael Schumacher,MSC,Benetton Ford,2:21.494,12
3,0,Damon Hill,HIL,Williams Renault,2:21.681,19
4,15,Eddie Irvine,IRV,Jordan Hart,2:22.074,11
5,27,Jean Alesi,ALE,Ferrari,2:22.202,20
6,6,Jos Verstappen,VER,Benetton Ford,2:22.218,15
7,2,David Coulthard,COU,Williams Renault,2:22.359,19
8,7,Mika Hakkinen,HAK,McLaren Peugeot,2:22.441,18
9,30,Heinz-Harald Frentzen,FRE,Sauber Mercedes,2:22.634,20
10,23,Pierluigi Martini,MAR,Minardi Ford,2:23.326,14
11,28,Gerhard Berger,BER,Ferrari,2:23.895,12
12,4,Mark Blundell,BLU,Tyrrell Yamaha,2:24.048,14
13,8,Martin Brundle,BRU,McLaren Peugeot,2:24.117,15
14,10,Gianni Morbidelli,MOR,Footwork Ford,2:25.114,19
15,29,Andrea de Cesaris,DEC,Sauber Mercedes,2:25.695,18
16,25,Eric Bernard,BER,Ligier Renault,2:26.044,18
17,26,Olivier Panis,PAN,Ligier Renault,2:26.079,17
18,24,Michele Alboreto,ALB,Minardi Ford,2:26.738,14
19,19,Philippe Alliot,ALL,Larrousse Ford,2:26.901,19
20,12,Johnny Herbert,HER,Lotus Mugen Honda,2:27.155,16
21,31,David Brabham,BRA,Simtek Ford,2:27.212,14
22,20,Erik Comas,COM,Larrousse Ford,2:28.156,19
23,3,Ukyo Katayama,KAT,Tyrrell Yamaha,2:28.979,13
24,9,Christian Fittipaldi,FIT,Footwork Ford,2:30.931,12
25,32,Jean-Marc Gounon,GOU,Simtek Ford,2:31.755,10
26,11,Philippe Adams,ADA,Lotus Mugen Honda,2:33.885,20
27,34,Bertrand Gachot,GAC,Pacific Ilmor,2:34.582,15
28,33,Paul Belmondo,BEL,Pacific Ilmor,2:35.729,7
