Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,28,Gerhard Berger,BER,Ferrari,1:20.608,19
2,0,Damon Hill,HIL,Williams Renault,1:20.766,22
3,2,David Coulthard,COU,Williams Renault,1:21.033,20
4,7,Mika Hakkinen,HAK,McLaren Peugeot,1:21.251,16
5,27,Jean Alesi,ALE,Ferrari,1:21.517,13
6,3,Ukyo Katayama,KAT,Tyrrell Yamaha,1:21.590,14
7,8,Martin Brundle,BRU,McLaren Peugeot,1:21.656,22
8,14,Rubens Barrichello,BAR,Jordan Hart,1:21.796,23
9,30,Heinz-Harald Frentzen,FRE,Sauber Mercedes,1:21.921,13
10,6,Jos Verstappen,VER,Benetton Ford,1:22.000,23
11,9,Christian Fittipaldi,FIT,Footwork Ford,1:22.132,22
12,4,Mark Blundell,BLU,Tyrrell Yamaha,1:22.288,23
13,15,Eddie Irvine,IRV,Jordan Hart,1:22.294,21
14,5,Jyrki Jarvilehto,JAR,Benetton Ford,1:22.369,22
15,26,Olivier Panis,PAN,Ligier Renault,1:22.672,21
16,10,Gianni Morbidelli,MOR,Footwork Ford,1:22.756,22
17,29,Andrea de Cesaris,DEC,Sauber Mercedes,1:22.885,24
18,23,Pierluigi Martini,MAR,Minardi Ford,1:23.243,21
19,24,Michele Alboreto,ALB,Minardi Ford,1:23.364,22
20,12,Johnny Herbert,HER,Lotus Mugen Honda,1:23.408,12
21,25,Eric Bernard,BER,Ligier Renault,1:23.699,21
22,20,Erik Comas,COM,Larrousse Ford,1:24.192,22
23,19,Yannick Dalmas,DAL,Larrousse Ford,1:24.438,19
24,31,David Brabham,BRA,Simtek Ford,1:24.514,20
25,11,Philippe Adams,ADA,Lotus Mugen Honda,1:25.313,20
26,32,Jean-Marc Gounon,GOU,Simtek Ford,1:25.649,19
27,34,Bertrand Gachot,GAC,Pacific Ilmor,1:27.385,13
28,33,Paul Belmondo,BEL,Pacific Ilmor,1:29.000,18
