Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,2,Ayrton Senna,SEN,Williams Renault,1:10.218,15
2,5,Michael Schumacher,MSC,Benetton Ford,1:10.440,18
3,0,Damon Hill,HIL,Williams Renault,1:10.771,15
4,7,Mika Hakkinen,HAK,McLaren Peugeot,1:11.683,18
5,28,Gerhard Berger,BER,Ferrari,1:11.744,19
6,8,Martin Brundle,BRU,McLaren Peugeot,1:12.351,22
7,27,Nicola Larini,LAR,Ferrari,1:12.372,12
8,14,Rubens Barrichello,BAR,Jordan Hart,1:12.409,12
9,9,Christian Fittipaldi,FIT,Footwork Ford,1:12.444,22
10,6,Jos Verstappen,VER,Benetton Ford,1:12.554,22
11,30,Heinz-Harald Frentzen,FRE,Sauber Mercedes,1:12.686,16
12,4,Mark Blundell,BLU,Tyrrell Yamaha,1:12.751,21
13,10,Gianni Morbidelli,MOR,Footwork Ford,1:12.866,21
14,3,Ukyo Katayama,KAT,Tyrrell Yamaha,1:13.013,22
15,24,Michele Alboreto,ALB,Minardi Ford,1:13.016,20
16,20,Erik Comas,COM,Larrousse Ford,1:13.111,20
17,23,Pierluigi Martini,MAR,Minardi Ford,1:13.529,18
18,25,Eric Bernard,BER,Ligier Renault,1:13.613,15
19,29,Karl Wendlinger,WEN,Sauber Mercedes,1:13.855,21
20,15,Aguri Suzuki,SUZ,Jordan Hart,1:13.932,21
21,19,Olivier Beretta,BER,Larrousse Ford,1:14.101,20
22,26,Olivier Panis,PAN,Ligier Renault,1:14.106,16
23,12,Johnny Herbert,HER,Lotus Mugen Honda,1:14.424,20
24,11,Pedro Lamy,LAM,Lotus Mugen Honda,1:14.657,20
25,31,David Brabham,BRA,Simtek Ford,1:14.748,22
26,32,Roland Ratzenberger,RAT,Simtek Ford,1:16.356,18
27,34,Bertrand Gachot,GAC,Pacific Ilmor,1:16.927,15
28,33,Paul Belmondo,BEL,Pacific Ilmor,1:17.450,18
