Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,0,Damon Hill,HIL,Williams Renault,1:16.282,24
2,2,Nigel Mansell,MAN,Williams Renault,1:16.359,21
3,5,Michael Schumacher,MSC,Benetton Ford,1:16.707,20
4,27,Jean Alesi,ALE,Ferrari,1:16.954,20
5,28,Gerhard Berger,BER,Ferrari,1:16.959,22
6,15,Eddie Irvine,IRV,Jordan Hart,1:17.441,22
7,14,Rubens Barrichello,BAR,Jordan Hart,1:17.482,22
8,6,Jos Verstappen,VER,Benetton Ford,1:17.645,14
9,7,Mika Hakkinen,HAK,McLaren Peugeot,1:17.768,19
10,30,Heinz-Harald Frentzen,FRE,Sauber Mercedes,1:17.830,21
11,29,Andrea de Cesaris,DEC,Sauber Mercedes,1:17.866,23
12,8,Martin Brundle,BRU,McLaren Peugeot,1:18.031,23
13,26,Olivier Panis,PAN,Ligier Renault,1:18.044,23
14,3,Ukyo Katayama,KAT,Tyrrell Yamaha,1:18.192,24
15,25,Eric Bernard,BER,Ligier Renault,1:18.236,21
16,23,Pierluigi Martini,MAR,Minardi Ford,1:18.248,22
17,4,Mark Blundell,BLU,Tyrrell Yamaha,1:18.381,24
18,9,Christian Fittipaldi,FIT,Footwork Ford,1:18.568,21
19,12,Johnny Herbert,HER,Lotus Mugen Honda,1:18.715,24
20,20,Erik Comas,COM,Larrousse Ford,1:18.811,20
21,24,Michele Alboreto,ALB,Minardi Ford,1:18.890,24
22,10,Gianni Morbidelli,MOR,Footwork Ford,1:18.936,20
23,11,Alessandro Zanardi,ZAN,Lotus Mugen Honda,1:19.066,23
24,31,David Brabham,BRA,Simtek Ford,1:19.771,22
25,19,Olivier Beretta,BER,Larrousse Ford,1:19.863,16
26,32,Jean-Marc Gounon,GOU,Simtek Ford,1:21.829,17
27,34,Bertrand Gachot,GAC,Pacific Ilmor,1:21.952,22
28,33,Paul Belmondo,BEL,Pacific Ilmor,1:23.004,15
