Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,2,Ayrton Senna,SEN,Williams Renault,1:15.962,22
2,5,Michael Schumacher,MSC,Benetton Ford,1:16.290,20
3,27,Jean Alesi,ALE,Ferrari,1:17.385,14
4,0,Damon Hill,HIL,Williams Renault,1:17.554,23
5,30,Heinz-Harald Frentzen,FRE,Sauber Mercedes,1:17.806,24
6,10,Gianni Morbidelli,MOR,Footwork Ford,1:17.866,20
7,29,Karl Wendlinger,WEN,Sauber Mercedes,1:17.927,24
8,7,Mika Hakkinen,HAK,McLaren Peugeot,1:18.122,17
9,6,Jos Verstappen,VER,Benetton Ford,1:18.183,19
10,3,Ukyo Katayama,KAT,Tyrrell Yamaha,1:18.194,22
11,9,Christian Fittipaldi,FIT,Footwork Ford,1:18.204,20
12,4,Mark Blundell,BLU,Tyrrell Yamaha,1:18.246,19
13,20,Erik Comas,COM,Larrousse Ford,1:18.321,18
14,14,Rubens Barrichello,BAR,Jordan Hart,1:18.414,18
15,23,Pierluigi Martini,MAR,Minardi Ford,1:18.659,22
16,15,Eddie Irvine,IRV,Jordan Hart,1:18.751,24
17,28,Gerhard Berger,BER,Ferrari,1:18.855,9
18,8,Martin Brundle,BRU,McLaren Peugeot,1:18.864,14
19,26,Olivier Panis,PAN,Ligier Renault,1:19.304,21
20,25,Eric Bernard,BER,Ligier Renault,1:19.396,18
21,12,Johnny Herbert,HER,Lotus Mugen Honda,1:19.483,23
22,24,Michele Alboreto,ALB,Minardi Ford,1:19.517,24
23,19,Olivier Beretta,BER,Larrousse Ford,1:19.524,16
24,11,Pedro Lamy,LAM,Lotus Mugen Honda,1:19.975,21
25,34,Bertrand Gachot,GAC,Pacific Ilmor,1:20.729,18
26,31,David Brabham,BRA,Simtek Ford,1:21.186,15
27,32,Roland Ratzenberger,RAT,Simtek Ford,1:22.707,12
