Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,5,Michael Schumacher,MSC,Benetton Ford,1:37.209,17
2,0,Damon Hill,HIL,Williams Renault,1:37.696,23
3,30,Heinz-Harald Frentzen,FRE,Sauber Mercedes,1:37.742,19
4,2,Nigel Mansell,MAN,Williams Renault,1:37.768,18
5,6,Johnny Herbert,HER,Benetton Ford,1:37.828,17
6,15,Eddie Irvine,IRV,Jordan Hart,1:37.880,17
7,27,Jean Alesi,ALE,Ferrari,1:37.907,20
8,7,Mika Hakkinen,HAK,McLaren Peugeot,1:37.998,24
9,8,Martin Brundle,BRU,McLaren Peugeot,1:38.076,22
10,14,Rubens Barrichello,BAR,Jordan Hart,1:38.533,15
11,28,Gerhard Berger,BER,Ferrari,1:38.570,24
12,10,Gianni Morbidelli,MOR,Footwork Ford,1:39.030,15
13,4,Mark Blundell,BLU,Tyrrell Yamaha,1:39.266,19
14,3,Ukyo Katayama,KAT,Tyrrell Yamaha,1:39.462,15
15,29,Jyrki Jarvilehto,JAR,Sauber Mercedes,1:39.483,13
16,23,Pierluigi Martini,MAR,Minardi Ford,1:39.548,21
17,12,Alessandro Zanardi,ZAN,Lotus Mugen Honda,1:39.721,21
18,9,Christian Fittipaldi,FIT,Footwork Ford,1:39.868,21
19,26,Olivier Panis,PAN,Ligier Renault,1:40.042,24
20,25,Franck Lagorce,LAG,Ligier Renault,1:40.577,23
21,24,Michele Alboreto,ALB,Minardi Ford,1:40.652,24
22,20,Erik Comas,COM,Larrousse Ford,1:40.978,23
23,19,Hideki Noda,NOD,Larrousse Ford,1:40.990,21
24,31,David Brabham,BRA,Simtek Ford,1:41.659,17
25,11,Mika Salo,SAL,Lotus Mugen Honda,1:41.805,22
26,32,Taki Inoue,INO,Simtek Ford,1:45.004,9
27,34,Bertrand Gachot,GAC,Pacific Ilmor,1:46.374,5
28,33,Paul Belmondo,BEL,Pacific Ilmor,1:46.629,9
