Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,5,Michael Schumacher,MSC,Benetton Ford,83,1:46:01.693,10
2,28,Gerhard Berger,BER,Ferrari,83,+75.300s,6
3,14,Rubens Barrichello,BAR,Jordan Hart,82,+1 lap,4
4,9,Christian Fittipaldi,FIT,Footwork Ford,82,+1 lap,3
5,30,Heinz-Harald Frentzen,FRE,Sauber Mercedes,82,+1 lap,2
6,20,Erik Comas,COM,Larrousse Ford,80,+3 laps,1
7,12,Johnny Herbert,HER,Lotus Mugen Honda,80,+3 laps,0
8,11,Pedro Lamy,LAM,Lotus Mugen Honda,79,+4 laps,0
9,26,Olivier Panis,PAN,Ligier Renault,78,+5 laps,0
10,25,Eric Bernard,BER,Ligier Renault,78,+5 laps,0
11,32,Roland Ratzenberger,RAT,Simtek Ford,78,+5 laps,0
NC,10,Gianni Morbidelli,MOR,Footwork Ford,69,DNF,0
NC,29,Karl Wendlinger,WEN,Sauber Mercedes,69,DNF,0
NC,24,Michele Alboreto,ALB,Minardi Ford,69,DNF,0
NC,8,Martin Brundle,BRU,McLaren Peugeot,67,DNF,0
NC,23,Pierluigi Martini,MAR,Minardi Ford,63,DNF,0
NC,6,Jos Verstappen,VER,Benetton Ford,54,DNF,0
NC,0,Damon Hill,HIL,Williams Renault,49,DNF,0
NC,15,Aguri Suzuki,SUZ,Jordan Hart,44,DNF,0
NC,3,Ukyo Katayama,KAT,Tyrrell Yamaha,42,DNF,0
NC,7,Mika Hakkinen,HAK,McLaren Peugeot,19,DNF,0
NC,19,Olivier Beretta,BER,Larrousse Ford,14,DNF,0
NC,31,David Brabham,BRA,Simtek Ford,2,DNF,0
NC,2,Ayrton Senna,SEN,Williams Renault,0,DNF,0
NC,4,Mark Blundell,BLU,Tyrrell Yamaha,0,DNF,0
NC,27,Nicola Larini,LAR,Ferrari,0,DNF,0
