Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,5,Damon Hill,HIL,Williams Renault,1:16.982,21
2,6,David Coulthard,COU,Williams Renault,1:17.366,22
3,1,Michael Schumacher,MSC,Benetton Renault,1:17.558,23
4,28,Gerhard Berger,BER,Ferrari,1:18.059,17
5,8,Mika Hakkinen,HAK,McLaren Mercedes,1:18.363,19
6,27,Jean Alesi,ALE,Ferrari,1:18.968,9
7,25,Martin Brundle,BRU,Ligier Mugen Honda,1:19.748,21
8,2,Johnny Herbert,HER,Benetton Renault,1:20.072,24
9,26,Olivier Panis,PAN,Ligier Mugen Honda,1:20.160,16
10,30,Heinz-Harald Frentzen,FRE,Sauber Ford,1:20.413,11
11,24,Luca Badoer,BAD,Minardi Ford,1:20.543,24
12,7,Mark Blundell,BLU,McLaren Mercedes,1:20.640,14
13,14,Rubens Barrichello,BAR,Jordan Peugeot,1:20.902,14
14,23,Pedro Lamy,LAM,Minardi Ford,1:21.156,24
15,15,Eddie Irvine,IRV,Jordan Peugeot,1:21.246,9
16,4,Mika Salo,SAL,Tyrrell Yamaha,1:21.624,14
17,3,Ukyo Katayama,KAT,Tyrrell Yamaha,1:21.702,21
18,10,Taki Inoue,INO,Footwork Hart,1:22.081,23
19,29,Jean-Christophe Boullion,BOU,Sauber Ford,1:22.161,9
20,9,Massimiliano Papis,PAP,Footwork Hart,1:23.275,10
21,22,Roberto Moreno,MOR,Forti Ford,1:24.351,24
22,17,Andrea Montermini,MON,Pacific Ilmor,1:24.371,19
23,21,Pedro Diniz,DIN,Forti Ford,1:24.695,23
24,16,Giovanni Lavaggi,LAV,Pacific Ilmor,1:26.570,23
