Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,5,Damon Hill,HIL,Williams Renault,1:28.124,19
2,1,Michael Schumacher,MSC,Benetton Renault,1:28.397,19
3,6,David Coulthard,COU,Williams Renault,1:28.947,20
4,28,Gerhard Berger,BER,Ferrari,1:29.657,14
5,2,Johnny Herbert,HER,Benetton Renault,1:29.867,15
6,27,Jean Alesi,ALE,Ferrari,1:29.874,21
7,15,Eddie Irvine,IRV,Jordan Peugeot,1:30.083,13
8,8,Mika Hakkinen,HAK,McLaren Mercedes,1:30.140,12
9,14,Rubens Barrichello,BAR,Jordan Peugeot,1:30.354,18
10,7,Mark Blundell,BLU,McLaren Mercedes,1:30.453,12
11,25,Martin Brundle,BRU,Ligier Mugen Honda,1:30.946,17
12,30,Heinz-Harald Frentzen,FRE,Sauber Ford,1:31.602,17
13,26,Olivier Panis,PAN,Ligier Mugen Honda,1:31.842,15
14,3,Ukyo Katayama,KAT,Tyrrell Yamaha,1:32.087,18
15,23,Pierluigi Martini,MAR,Minardi Ford,1:32.259,14
16,29,Jean-Christophe Boullion,BOU,Sauber Ford,1:33.166,21
17,9,Massimiliano Papis,PAP,Footwork Hart,1:34.154,17
18,24,Luca Badoer,BAD,Minardi Ford,1:34.556,15
19,10,Taki Inoue,INO,Footwork Hart,1:35.323,12
20,21,Pedro Diniz,DIN,Forti Ford,1:36.023,14
21,16,Bertrand Gachot,GAC,Pacific Ilmor,1:36.076,7
22,22,Roberto Moreno,MOR,Forti Ford,1:36.651,23
23,4,Mika Salo,SAL,Tyrrell Yamaha,1:48.639,9
24,17,Andrea Montermini,MON,Pacific Ilmor,1:52.398,3
