Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,6,David Coulthard,COU,Williams Renault,1:53.241,16
2,5,Damon Hill,HIL,Williams Renault,1:54.057,17
3,1,Michael Schumacher,MSC,Benetton Renault,1:54.272,17
4,15,Eddie Irvine,IRV,Jordan Peugeot,1:54.381,14
5,8,Mika Hakkinen,HAK,McLaren Mercedes,1:54.529,20
6,27,Jean Alesi,ALE,Ferrari,1:54.637,22
7,4,Mika Salo,SAL,Tyrrell Yamaha,1:54.757,16
8,28,Gerhard Berger,BER,Ferrari,1:55.276,17
9,30,Heinz-Harald Frentzen,FRE,Sauber Ford,1:55.583,19
10,14,Rubens Barrichello,BAR,Jordan Peugeot,1:56.114,20
11,2,Johnny Herbert,HER,Benetton Renault,1:57.068,15
12,9,Gianni Morbidelli,MOR,Footwork Hart,1:57.092,12
13,24,Luca Badoer,BAD,Minardi Ford,1:57.167,16
14,12,Jos Verstappen,VER,Simtek Ford,1:57.231,14
15,3,Ukyo Katayama,KAT,Tyrrell Yamaha,1:57.484,20
16,23,Pierluigi Martini,MAR,Minardi Ford,1:58.066,11
17,7,Mark Blundell,BLU,McLaren Mercedes,1:58.660,15
18,26,Olivier Panis,PAN,Ligier Mugen Honda,1:58.824,16
19,25,Aguri Suzuki,SUZ,Ligier Mugen Honda,1:58.882,15
20,11,Domenico Schiattarella,SCH,Simtek Ford,1:59.539,17
21,29,Karl Wendlinger,WEN,Sauber Ford,2:00.751,17
22,17,Andrea Montermini,MON,Pacific Ilmor,2:01.763,13
23,16,Bertrand Gachot,GAC,Pacific Ilmor,2:04.050,16
24,22,Roberto Moreno,MOR,Forti Ford,2:04.481,15
25,21,Pedro Diniz,DIN,Forti Ford,2:05.932,10
26,10,Taki Inoue,INO,Footwork Hart,2:07.298,4
