Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,6,David Coulthard,COU,Williams Renault,1:24.462,24
2,1,Michael Schumacher,MSC,Benetton Renault,1:25.026,22
3,28,Gerhard Berger,BER,Ferrari,1:25.353,15
4,5,Damon Hill,HIL,Williams Renault,1:25.699,23
5,27,Jean Alesi,ALE,Ferrari,1:25.707,22
6,14,Rubens Barrichello,BAR,Jordan Peugeot,1:25.919,24
7,8,Mika Hakkinen,HAK,McLaren Mercedes,1:25.920,18
8,2,Johnny Herbert,HER,Benetton Renault,1:26.433,24
9,7,Mark Blundell,BLU,McLaren Mercedes,1:26.472,24
10,30,Heinz-Harald Frentzen,FRE,Sauber Ford,1:26.541,24
11,25,Martin Brundle,BRU,Ligier Mugen Honda,1:27.067,24
12,15,Eddie Irvine,IRV,Jordan Peugeot,1:27.271,23
13,26,Olivier Panis,PAN,Ligier Mugen Honda,1:27.384,16
14,29,Jean-Christophe Boullion,BOU,Sauber Ford,1:28.741,20
15,9,Massimiliano Papis,PAP,Footwork Hart,1:28.870,11
16,4,Mika Salo,SAL,Tyrrell Yamaha,1:29.028,24
17,3,Ukyo Katayama,KAT,Tyrrell Yamaha,1:29.287,19
18,24,Luca Badoer,BAD,Minardi Ford,1:29.559,20
19,23,Pedro Lamy,LAM,Minardi Ford,1:29.936,15
20,10,Taki Inoue,INO,Footwork Hart,1:30.515,21
21,17,Andrea Montermini,MON,Pacific Ilmor,1:30.721,24
22,22,Roberto Moreno,MOR,Forti Ford,1:30.834,23
23,21,Pedro Diniz,DIN,Forti Ford,1:32.102,22
24,16,Giovanni Lavaggi,LAV,Pacific Ilmor,1:32.470,23
