Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,6,David Coulthard,COU,Williams Renault,1:14.013,16
2,5,Damon Hill,HIL,Williams Renault,1:14.213,17
3,1,Michael Schumacher,MSC,Benetton Renault,1:14.284,24
4,27,Jean Alesi,ALE,Ferrari,1:14.919,15
5,28,Gerhard Berger,BER,Ferrari,1:14.974,16
6,15,Eddie Irvine,IRV,Jordan Peugeot,1:15.354,24
7,2,Johnny Herbert,HER,Benetton Renault,1:15.556,24
8,30,Heinz-Harald Frentzen,FRE,Sauber Ford,1:15.561,14
9,26,Olivier Panis,PAN,Ligier Mugen Honda,1:15.621,20
10,7,Mark Blundell,BLU,McLaren Mercedes,1:15.652,22
11,14,Rubens Barrichello,BAR,Jordan Peugeot,1:15.774,23
12,8,Jan Magnussen,MAG,McLaren Mercedes,1:16.339,19
13,25,Aguri Suzuki,SUZ,Ligier Mugen Honda,1:16.519,20
14,23,Pedro Lamy,LAM,Minardi Ford,1:16.596,22
15,29,Jean-Christophe Boullion,BOU,Sauber Ford,1:16.646,12
16,24,Luca Badoer,BAD,Minardi Ford,1:16.887,24
17,3,Ukyo Katayama,KAT,Tyrrell Yamaha,1:17.014,24
18,4,Mika Salo,SAL,Tyrrell Yamaha,1:17.213,24
19,9,Gianni Morbidelli,MOR,Footwork Hart,1:18.114,24
20,10,Taki Inoue,INO,Footwork Hart,1:18.212,24
21,21,Pedro Diniz,DIN,Forti Ford,1:19.579,22
22,22,Roberto Moreno,MOR,Forti Ford,1:19.745,23
23,17,Andrea Montermini,MON,Pacific Ilmor,1:20.093,11
24,16,Bertrand Gachot,GAC,Pacific Ilmor,1:21.405,17
