Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,1,Michael Schumacher,MSC,Benetton Renault,1:27.274,18
2,28,Gerhard Berger,BER,Ferrari,1:27.282,15
3,6,David Coulthard,COU,Williams Renault,1:27.459,21
4,5,Damon Hill,HIL,Williams Renault,1:27.512,24
5,27,Jean Alesi,ALE,Ferrari,1:27.813,23
6,8,Mika Hakkinen,HAK,McLaren Mercedes,1:28.343,11
7,15,Eddie Irvine,IRV,Jordan Peugeot,1:28.516,11
8,2,Johnny Herbert,HER,Benetton Renault,1:29.350,22
9,7,Nigel Mansell,MAN,McLaren Mercedes,1:29.517,21
10,14,Rubens Barrichello,BAR,Jordan Peugeot,1:29.551,23
11,9,Gianni Morbidelli,MOR,Footwork Hart,1:29.582,17
12,26,Olivier Panis,PAN,Ligier Mugen Honda,1:30.760,23
13,4,Mika Salo,SAL,Tyrrell Yamaha,1:31.035,22
14,30,Heinz-Harald Frentzen,FRE,Sauber Ford,1:31.358,24
15,3,Ukyo Katayama,KAT,Tyrrell Yamaha,1:31.630,23
16,25,Aguri Suzuki,SUZ,Ligier Mugen Honda,1:31.913,23
17,12,Jos Verstappen,VER,Simtek Ford,1:32.156,22
18,23,Pierluigi Martini,MAR,Minardi Ford,1:32.445,20
19,10,Taki Inoue,INO,Footwork Hart,1:32.710,24
20,24,Luca Badoer,BAD,Minardi Ford,1:33.071,24
21,29,Karl Wendlinger,WEN,Sauber Ford,1:33.494,23
22,16,Bertrand Gachot,GAC,Pacific Ilmor,1:33.892,19
23,11,Domenico Schiattarella,SCH,Simtek Ford,1:33.965,20
24,17,Andrea Montermini,MON,Pacific Ilmor,1:35.169,20
25,22,Roberto Moreno,MOR,Forti Ford,1:36.065,17
26,21,Pedro Diniz,DIN,Forti Ford,1:36.624,24
