Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,1,Michael Schumacher,MSC,Benetton Renault,1:21.452,19
2,27,Jean Alesi,ALE,Ferrari,1:22.052,18
3,28,Gerhard Berger,BER,Ferrari,1:22.071,19
4,6,David Coulthard,COU,Williams Renault,1:22.332,21
5,5,Damon Hill,HIL,Williams Renault,1:22.349,21
6,15,Eddie Irvine,IRV,Jordan Peugeot,1:23.352,23
7,2,Johnny Herbert,HER,Benetton Renault,1:23.536,22
8,14,Rubens Barrichello,BAR,Jordan Peugeot,1:23.705,15
9,8,Mika Hakkinen,HAK,McLaren Mercedes,1:23.833,22
10,7,Nigel Mansell,MAN,McLaren Mercedes,1:23.927,23
11,25,Martin Brundle,BRU,Ligier Mugen Honda,1:24.727,23
12,30,Heinz-Harald Frentzen,FRE,Sauber Ford,1:24.802,23
13,4,Mika Salo,SAL,Tyrrell Yamaha,1:24.971,22
14,9,Gianni Morbidelli,MOR,Footwork Hart,1:25.053,23
15,26,Olivier Panis,PAN,Ligier Mugen Honda,1:25.204,23
16,12,Jos Verstappen,VER,Simtek Ford,1:25.827,17
17,3,Ukyo Katayama,KAT,Tyrrell Yamaha,1:25.946,21
18,10,Taki Inoue,INO,Footwork Hart,1:26.059,24
19,23,Pierluigi Martini,MAR,Minardi Ford,1:26.619,21
20,29,Karl Wendlinger,WEN,Sauber Ford,1:27.007,24
21,24,Luca Badoer,BAD,Minardi Ford,1:27.345,24
22,11,Domenico Schiattarella,SCH,Simtek Ford,1:27.575,23
23,17,Andrea Montermini,MON,Pacific Ilmor,1:28.094,22
24,16,Bertrand Gachot,GAC,Pacific Ilmor,1:28.598,24
25,22,Roberto Moreno,MOR,Forti Ford,1:28.963,23
26,21,Pedro Diniz,DIN,Forti Ford,1:29.540,24
