Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,6,Jacques Villeneuve,VIL,Williams Renault,1:38.909,11
2,5,Damon Hill,HIL,Williams Renault,1:39.370,11
3,1,Michael Schumacher,MSC,Ferrari,1:40.071,11
4,4,Gerhard Berger,BER,Benetton Renault,1:40.364,10
5,7,Mika Hakkinen,HAK,McLaren Mercedes,1:40.458,10
6,2,Eddie Irvine,IRV,Ferrari,1:41.005,11
7,15,Heinz-Harald Frentzen,FRE,Sauber Ford,1:41.277,12
8,8,David Coulthard,COU,McLaren Mercedes,1:41.384,9
9,3,Jean Alesi,ALE,Benetton Renault,1:41.562,8
10,12,Martin Brundle,BRU,Jordan Peugeot,1:41.600,11
11,11,Rubens Barrichello,BAR,Jordan Peugeot,1:41.919,11
12,9,Olivier Panis,PAN,Ligier Mugen Honda,1:42.206,11
13,14,Johnny Herbert,HER,Sauber Ford,1:42.658,12
14,18,Ukyo Katayama,KAT,Tyrrell Yamaha,1:42.711,12
15,19,Mika Salo,SAL,Tyrrell Yamaha,1:42.840,12
16,10,Pedro Diniz,DIN,Ligier Mugen Honda,1:43.196,11
17,17,Jos Verstappen,VER,Footwork Hart,1:43.383,10
18,20,Pedro Lamy,LAM,Minardi Ford,1:44.874,11
19,16,Ricardo Rosset,ROS,Footwork Hart,1:45.412,12
20,21,Giovanni Lavaggi,LAV,Minardi Ford,1:46.795,11
