Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,5,Damon Hill,HIL,Williams Renault,1:30.346,12
2,1,Michael Schumacher,MSC,Ferrari,1:30.598,11
3,6,Jacques Villeneuve,VIL,Williams Renault,1:30.907,12
4,3,Jean Alesi,ALE,Benetton Renault,1:31.038,6
5,4,Gerhard Berger,BER,Benetton Renault,1:31.262,11
6,11,Rubens Barrichello,BAR,Jordan Peugeot,1:31.404,12
7,17,Jos Verstappen,VER,Footwork Hart,1:31.615,7
8,7,Mika Hakkinen,HAK,McLaren Mercedes,1:31.801,11
9,8,David Coulthard,COU,McLaren Mercedes,1:32.001,12
10,2,Eddie Irvine,IRV,Ferrari,1:32.058,11
11,15,Heinz-Harald Frentzen,FRE,Sauber Ford,1:32.130,12
12,9,Olivier Panis,PAN,Ligier Mugen Honda,1:32.177,11
13,18,Ukyo Katayama,KAT,Tyrrell Yamaha,1:32.407,12
14,21,Tarso Marques,MAR,Minardi Ford,1:32.502,11
15,12,Martin Brundle,BRU,Jordan Peugeot,1:32.696,12
16,19,Mika Salo,SAL,Tyrrell Yamaha,1:32.903,10
17,14,Johnny Herbert,HER,Sauber Ford,1:33.256,10
18,10,Pedro Diniz,DIN,Ligier Mugen Honda,1:33.424,12
19,20,Pedro Lamy,LAM,Minardi Ford,1:33.727,12
20,16,Ricardo Rosset,ROS,Footwork Hart,1:33.752,11
21,22,Luca Badoer,BAD,Forti Ford,1:34.830,11
22,23,Andrea Montermini,MON,Forti Ford,1:35.651,11
