Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,5,Damon Hill,HIL,Williams Renault,1:21.059,11
2,6,Jacques Villeneuve,VIL,Williams Renault,1:21.079,12
3,1,Michael Schumacher,MSC,Ferrari,1:21.198,10
4,3,Jean Alesi,ALE,Benetton Renault,1:21.529,8
5,2,Eddie Irvine,IRV,Ferrari,1:21.657,9
6,7,Mika Hakkinen,HAK,McLaren Mercedes,1:21.807,12
7,4,Gerhard Berger,BER,Benetton Renault,1:21.926,10
8,11,Rubens Barrichello,BAR,Jordan Peugeot,1:21.982,12
9,12,Martin Brundle,BRU,Jordan Peugeot,1:22.321,12
10,8,David Coulthard,COU,McLaren Mercedes,1:22.332,11
11,9,Olivier Panis,PAN,Ligier Mugen Honda,1:22.481,11
12,15,Heinz-Harald Frentzen,FRE,Sauber Ford,1:22.875,11
13,17,Jos Verstappen,VER,Footwork Hart,1:23.067,11
14,19,Mika Salo,SAL,Tyrrell Yamaha,1:23.118,11
15,14,Johnny Herbert,HER,Sauber Ford,1:23.201,12
16,21,Giancarlo Fisichella,FIS,Minardi Ford,1:23.519,11
17,18,Ukyo Katayama,KAT,Tyrrell Yamaha,1:23.599,12
18,10,Pedro Diniz,DIN,Ligier Mugen Honda,1:23.959,11
19,20,Pedro Lamy,LAM,Minardi Ford,1:24.262,12
20,22,Luca Badoer,BAD,Forti Ford,1:25.012,7
21,16,Ricardo Rosset,ROS,Footwork Hart,1:25.193,12
22,23,Andrea Montermini,MON,Forti Ford,1:26.109,4
