Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,5,Damon Hill,HIL,Williams Renault,1:20.330,8
2,6,Jacques Villeneuve,VIL,Williams Renault,1:20.339,10
3,3,Jean Alesi,ALE,Benetton Renault,1:21.088,9
4,1,Michael Schumacher,MSC,Ferrari,1:21.236,9
5,4,Gerhard Berger,BER,Benetton Renault,1:21.293,9
6,2,Eddie Irvine,IRV,Ferrari,1:21.362,10
7,7,Mika Hakkinen,HAK,McLaren Mercedes,1:21.640,9
8,8,David Coulthard,COU,McLaren Mercedes,1:22.066,9
9,11,Rubens Barrichello,BAR,Jordan Peugeot,1:22.205,12
10,12,Martin Brundle,BRU,Jordan Peugeot,1:22.324,10
11,15,Heinz-Harald Frentzen,FRE,Sauber Ford,1:22.325,11
12,14,Johnny Herbert,HER,Sauber Ford,1:22.655,12
13,19,Mika Salo,SAL,Tyrrell Yamaha,1:22.765,12
14,18,Ukyo Katayama,KAT,Tyrrell Yamaha,1:23.013,11
15,9,Olivier Panis,PAN,Ligier Mugen Honda,1:23.055,10
16,17,Jos Verstappen,VER,Footwork Hart,1:23.531,10
17,16,Ricardo Rosset,ROS,Footwork Hart,1:24.230,10
18,10,Pedro Diniz,DIN,Ligier Mugen Honda,1:24.293,11
19,20,Pedro Lamy,LAM,Minardi Ford,1:24.510,11
20,21,Giovanni Lavaggi,LAV,Minardi Ford,1:25.612,12
