Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,5,Michael Schumacher,MSC,Ferrari,1:18.095,11
2,3,Jacques Villeneuve,VIL,Williams Renault,1:18.108,12
3,22,Rubens Barrichello,BAR,Stewart Ford,1:18.388,12
4,4,Heinz-Harald Frentzen,FRE,Williams Renault,1:18.464,11
5,10,David Coulthard,COU,McLaren Mercedes,1:18.466,8
6,12,Giancarlo Fisichella,FIS,Jordan Peugeot,1:18.750,12
7,11,Ralf Schumacher,RSC,Jordan Peugeot,1:18.869,11
8,7,Jean Alesi,ALE,Benetton Renault,1:18.899,10
9,9,Mika Hakkinen,HAK,McLaren Mercedes,1:18.916,9
10,14,Olivier Panis,PAN,Prost Mugen Honda,1:19.034,11
11,8,Alexander Wurz,WUR,Benetton Renault,1:19.286,10
12,6,Eddie Irvine,IRV,Ferrari,1:19.503,12
13,16,Johnny Herbert,HER,Sauber Petronas,1:19.622,11
14,18,Jos Verstappen,VER,Tyrrell Ford,1:20.102,10
15,1,Damon Hill,HIL,Arrows Yamaha,1:20.129,12
16,2,Pedro Diniz,DIN,Arrows Yamaha,1:20.175,12
17,19,Mika Salo,SAL,Tyrrell Ford,1:20.336,10
18,17,Gianni Morbidelli,MOR,Sauber Petronas,1:20.357,12
19,15,Shinji Nakano,NAK,Prost Mugen Honda,1:20.370,12
20,21,Jarno Trulli,TRU,Minardi Hart,1:20.370,10
21,23,Jan Magnussen,MAG,Stewart Ford,1:20.491,9
22,20,Ukyo Katayama,KAT,Minardi Hart,1:21.034,11
