Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,3,Jacques Villeneuve,VIL,Williams Renault,1:10.304,12
2,9,Mika Hakkinen,HAK,McLaren Mercedes,1:10.398,12
3,14,Jarno Trulli,TRU,Prost Mugen Honda,1:10.511,12
4,4,Heinz-Harald Frentzen,FRE,Williams Renault,1:10.670,11
5,22,Rubens Barrichello,BAR,Stewart Ford,1:10.700,12
6,23,Jan Magnussen,MAG,Stewart Ford,1:10.893,12
7,1,Damon Hill,HIL,Arrows Yamaha,1:11.025,10
8,6,Eddie Irvine,IRV,Ferrari,1:11.051,11
9,5,Michael Schumacher,MSC,Ferrari,1:11.056,11
10,10,David Coulthard,COU,McLaren Mercedes,1:11.076,12
11,11,Ralf Schumacher,RSC,Jordan Peugeot,1:11.186,12
12,16,Johnny Herbert,HER,Sauber Petronas,1:11.210,10
13,17,Gianni Morbidelli,MOR,Sauber Petronas,1:11.261,12
14,12,Giancarlo Fisichella,FIS,Jordan Peugeot,1:11.299,12
15,7,Jean Alesi,ALE,Benetton Renault,1:11.382,11
16,15,Shinji Nakano,NAK,Prost Mugen Honda,1:11.596,11
17,2,Pedro Diniz,DIN,Arrows Yamaha,1:11.615,7
18,8,Gerhard Berger,BER,Benetton Renault,1:11.620,11
19,20,Ukyo Katayama,KAT,Minardi Hart,1:12.036,12
20,18,Jos Verstappen,VER,Tyrrell Ford,1:12.230,12
21,21,Tarso Marques,MAR,Minardi Hart,1:12.304,12
22,19,Mika Salo,SAL,Tyrrell Ford,1:14.246,6
