Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,5,Michael Schumacher,MSC,Ferrari,1:14.548,9
2,4,Heinz-Harald Frentzen,FRE,Williams Renault,1:14.749,11
3,11,Ralf Schumacher,RSC,Jordan Peugeot,1:14.755,11
4,3,Jacques Villeneuve,VIL,Williams Renault,1:14.800,12
5,6,Eddie Irvine,IRV,Ferrari,1:14.860,11
6,14,Jarno Trulli,TRU,Prost Mugen Honda,1:14.957,12
7,8,Alexander Wurz,WUR,Benetton Renault,1:14.986,12
8,7,Jean Alesi,ALE,Benetton Renault,1:15.228,12
9,10,David Coulthard,COU,McLaren Mercedes,1:15.270,11
10,9,Mika Hakkinen,HAK,McLaren Mercedes,1:15.339,9
11,12,Giancarlo Fisichella,FIS,Jordan Peugeot,1:15.453,12
12,15,Shinji Nakano,NAK,Prost Mugen Honda,1:15.857,12
13,22,Rubens Barrichello,BAR,Stewart Ford,1:15.876,12
14,16,Johnny Herbert,HER,Sauber Petronas,1:16.018,12
15,23,Jan Magnussen,MAG,Stewart Ford,1:16.149,12
16,2,Pedro Diniz,DIN,Arrows Yamaha,1:16.536,12
17,1,Damon Hill,HIL,Arrows Yamaha,1:16.729,11
18,18,Jos Verstappen,VER,Tyrrell Ford,1:16.941,11
19,19,Mika Salo,SAL,Tyrrell Ford,1:17.256,12
20,17,Norberto Fontana,FON,Sauber Petronas,1:17.538,12
21,20,Ukyo Katayama,KAT,Minardi Hart,1:17.563,12
22,21,Tarso Marques,MAR,Minardi Hart,1:18.280,12
